Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Victor Wembanyama,SAS,TOR,SAS vs. TOR,PTS,23.5,2026-02-25
Brandon Ingram,TOR,SAS,TOR vs. SAS,PTS,21.5,2026-02-25
De'Aaron Fox,SAS,TOR,SAS vs. TOR,PTS,16.5,2026-02-25
Stephon Castle,SAS,TOR,SAS vs. TOR,PTS,15.5,2026-02-25
Immanuel Quickley,TOR,SAS,TOR vs. SAS,PTS,16.5,2026-02-25
RJ Barrett,TOR,SAS,TOR vs. SAS,PTS,17.5,2026-02-25
Scottie Barnes,TOR,SAS,TOR vs. SAS,PTS,16.5,2026-02-25
Devin Vassell,SAS,TOR,SAS vs. TOR,PTS,12.5,2026-02-25
Keldon Johnson,SAS,TOR,SAS vs. TOR,PTS,12.5,2026-02-25
Dylan Harper,SAS,TOR,SAS vs. TOR,PTS,9.5,2026-02-25
Julian Champagnie,SAS,TOR,SAS vs. TOR,PTS,8.5,2026-02-25
Harrison Barnes,SAS,TOR,SAS vs. TOR,PTS,7.5,2026-02-25
Collin Murray-Boyles,TOR,SAS,TOR vs. SAS,PTS,8.5,2026-02-25
Jakob Poeltl,TOR,SAS,TOR vs. SAS,PTS,7.5,2026-02-25
Jamal Shead,TOR,SAS,TOR vs. SAS,PTS,5.5,2026-02-25
Cade Cunningham,DET,OKC,DET vs. OKC,PTS,25.5,2026-02-25
Jalen Duren,DET,OKC,DET vs. OKC,PTS,16.5,2026-02-25
Chet Holmgren,OKC,DET,OKC vs. DET,PTS,17.5,2026-02-25
Isaiah Joe,OKC,DET,OKC vs. DET,PTS,14.5,2026-02-25
Duncan Robinson,DET,OKC,DET vs. OKC,PTS,10.5,2026-02-25
Tobias Harris,DET,OKC,DET vs. OKC,PTS,13.5,2026-02-25
Aaron Wiggins,OKC,DET,OKC vs. DET,PTS,12.5,2026-02-25
Cason Wallace,OKC,DET,OKC vs. DET,PTS,11.5,2026-02-25
Luguentz Dort,OKC,DET,OKC vs. DET,PTS,10.5,2026-02-25
Isaiah Hartenstein,OKC,DET,OKC vs. DET,PTS,9.5,2026-02-25
Ausar Thompson,DET,OKC,DET vs. OKC,PTS,8.5,2026-02-25
Jared McCain,OKC,DET,OKC vs. DET,PTS,8.5,2026-02-25
Caris LeVert,DET,OKC,DET vs. OKC,PTS,6.5,2026-02-25
Ronald Holland,DET,OKC,DET vs. OKC,PTS,6.5,2026-02-25
Daniss Jenkins,DET,OKC,DET vs. OKC,PTS,6.5,2026-02-25
Paul Reed,DET,OKC,DET vs. OKC,PTS,7.5,2026-02-25
De'Anthony Melton,GSW,MEM,GSW vs. MEM,PTS,19.5,2026-02-25
Brandin Podziemski,GSW,MEM,GSW vs. MEM,PTS,17.5,2026-02-25
GG Jackson,MEM,GSW,MEM vs. GSW,PTS,14.5,2026-02-25
Moses Moody,GSW,MEM,GSW vs. MEM,PTS,18.5,2026-02-25
Ty Jerome,MEM,GSW,MEM vs. GSW,PTS,15.5,2026-02-25
Al Horford,GSW,MEM,GSW vs. MEM,PTS,11.5,2026-02-25
Gui Santos,GSW,MEM,GSW vs. MEM,PTS,14.5,2026-02-25
Jaylen Wells,MEM,GSW,MEM vs. GSW,PTS,11.5,2026-02-25
Pat Spencer,GSW,MEM,GSW vs. MEM,PTS,9.5,2026-02-25
Draymond Green,GSW,MEM,GSW vs. MEM,PTS,10.5,2026-02-25
Cam Spencer,MEM,GSW,MEM vs. GSW,PTS,8.5,2026-02-25
Scotty Pippen,MEM,GSW,MEM vs. GSW,PTS,14.5,2026-02-25
Kevin Durant,HOU,SAC,HOU vs. SAC,PTS,25.5,2026-02-25
Alperen Sengun,HOU,SAC,HOU vs. SAC,PTS,20.5,2026-02-25
Jabari Smith,HOU,SAC,HOU vs. SAC,PTS,16.0,2026-02-25
DeMar DeRozan,SAC,HOU,SAC vs. HOU,PTS,15.0,2026-02-25
Keegan Murray,SAC,HOU,SAC vs. HOU,PTS,15.5,2026-02-25
Reed Sheppard,HOU,SAC,HOU vs. SAC,PTS,14.5,2026-02-25
Tari Eason,HOU,SAC,HOU vs. SAC,PTS,15.5,2026-02-25
Maxime Raynaud,SAC,HOU,SAC vs. HOU,PTS,13.5,2026-02-25
Russell Westbrook,SAC,HOU,SAC vs. HOU,PTS,13.5,2026-02-25
Malik Monk,SAC,HOU,SAC vs. HOU,PTS,11.5,2026-02-25
Nique Clifford,SAC,HOU,SAC vs. HOU,PTS,9.5,2026-02-25
Precious Achiuwa,SAC,HOU,SAC vs. HOU,PTS,8.5,2026-02-25
Dorian Finney-Smith,HOU,SAC,HOU vs. SAC,PTS,5.5,2026-02-25
Donovan Mitchell,CLE,MIL,CLE vs. MIL,PTS,26.5,2026-02-25
James Harden,CLE,MIL,CLE vs. MIL,PTS,20.5,2026-02-25
Cam Thomas,MIL,CLE,MIL vs. CLE,PTS,14.5,2026-02-25
Kevin Porter,MIL,CLE,MIL vs. CLE,PTS,18.5,2026-02-25
Ryan Rollins,MIL,CLE,MIL vs. CLE,PTS,18.5,2026-02-25
Jarrett Allen,CLE,MIL,CLE vs. MIL,PTS,15.5,2026-02-25
Kyle Kuzma,MIL,CLE,MIL vs. CLE,PTS,11.5,2026-02-25
Myles Turner,MIL,CLE,MIL vs. CLE,PTS,10.5,2026-02-25
Jaylon Tyson,CLE,MIL,CLE vs. MIL,PTS,11.5,2026-02-25
Sam Merrill,CLE,MIL,CLE vs. MIL,PTS,10.5,2026-02-25
AJ Green,MIL,CLE,MIL vs. CLE,PTS,8.5,2026-02-25
Bobby Portis,MIL,CLE,MIL vs. CLE,PTS,9.5,2026-02-25
