Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Anthony Edwards,MIN,ORL,MIN vs. ORL,PTS,28.5,2026-03-07
Paolo Banchero,ORL,MIN,ORL vs. MIN,PTS,22.5,2026-03-07
Desmond Bane,ORL,MIN,ORL vs. MIN,PTS,20.5,2026-03-07
Julius Randle,MIN,ORL,MIN vs. ORL,PTS,18.5,2026-03-07
Anthony Black,ORL,MIN,ORL vs. MIN,PTS,13.5,2026-03-07
Jaden McDaniels,MIN,ORL,MIN vs. ORL,PTS,13.5,2026-03-07
Jalen Suggs,ORL,MIN,ORL vs. MIN,PTS,13.5,2026-03-07
Donte DiVincenzo,MIN,ORL,MIN vs. ORL,PTS,10.5,2026-03-07
Rudy Gobert,MIN,ORL,MIN vs. ORL,PTS,10.5,2026-03-07
Ayo Dosunmu,MIN,ORL,MIN vs. ORL,PTS,10.5,2026-03-07
Naz Reid,MIN,ORL,MIN vs. ORL,PTS,10.5,2026-03-07
Moritz Wagner,ORL,MIN,ORL vs. MIN,PTS,8.5,2026-03-07
Tristan Silva,ORL,MIN,ORL vs. MIN,PTS,8.5,2026-03-07
Wendell Carter,ORL,MIN,ORL vs. MIN,PTS,9.5,2026-03-07
Tyrese Maxey,PHI,ATL,PHI vs. ATL,PTS,31.5,2026-03-07
Jalen Johnson,ATL,PHI,ATL vs. PHI,PTS,22.5,2026-03-07
CJ McCollum,ATL,PHI,ATL vs. PHI,PTS,17.5,2026-03-07
Nickeil Alexander-Walker,ATL,PHI,ATL vs. PHI,PTS,17.5,2026-03-07
Onyeka Okongwu,ATL,PHI,ATL vs. PHI,PTS,15.5,2026-03-07
Kelly Oubre,PHI,ATL,PHI vs. ATL,PTS,16.5,2026-03-07
Quentin Grimes,PHI,ATL,PHI vs. ATL,PTS,14.0,2026-03-07
Dyson Daniels,ATL,PHI,ATL vs. PHI,PTS,10.5,2026-03-07
Corey Kispert,ATL,PHI,ATL vs. PHI,PTS,7.5,2026-03-07
Justin Edwards,PHI,ATL,PHI vs. ATL,PTS,7.5,2026-03-07
Zaccharie Risacher,ATL,PHI,ATL vs. PHI,PTS,8.5,2026-03-07
Dominick Barlow,PHI,ATL,PHI vs. ATL,PTS,8.5,2026-03-07
Jock Landale,ATL,PHI,ATL vs. PHI,PTS,7.5,2026-03-07
