Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Jalen Brunson,NYK,SAS,NYK vs. SAS,PTS,25.5,2026-06-03
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PTS,27.5,2026-06-03
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PTS,15.5,2026-06-03
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PTS,17.0,2026-06-03
OG Anunoby,NYK,SAS,NYK vs. SAS,PTS,15.5,2026-06-03
Stephon Castle,SAS,NYK,SAS vs. NYK,PTS,16.5,2026-06-03
Devin Vassell,SAS,NYK,SAS vs. NYK,PTS,13.5,2026-06-03
Josh Hart,NYK,SAS,NYK vs. SAS,PTS,11.5,2026-06-03
Mikal Bridges,NYK,SAS,NYK vs. SAS,PTS,14.5,2026-06-03
Dylan Harper,SAS,NYK,SAS vs. NYK,PTS,10.5,2026-06-03
Julian Champagnie,SAS,NYK,SAS vs. NYK,PTS,10.0,2026-06-03
Keldon Johnson,SAS,NYK,SAS vs. NYK,PTS,8.5,2026-06-03
Landry Shamet,NYK,SAS,NYK vs. SAS,PTS,6.0,2026-06-03
Miles McBride,NYK,SAS,NYK vs. SAS,PTS,5.5,2026-06-03
Mitchell Robinson,NYK,SAS,NYK vs. SAS,PTS,3.5,2026-06-03
Luke Kornet,SAS,NYK,SAS vs. NYK,PTS,2.5,2026-06-03
Jose Alvarado,NYK,SAS,NYK vs. SAS,PTS,2.5,2026-06-03
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PRA,42.5,2026-06-03
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PRA,33.0,2026-06-03
Jalen Brunson,NYK,SAS,NYK vs. SAS,PRA,35.5,2026-06-03
Stephon Castle,SAS,NYK,SAS vs. NYK,PRA,29.5,2026-06-03
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PRA,25.5,2026-06-03
Josh Hart,NYK,SAS,NYK vs. SAS,PRA,24.5,2026-06-03
OG Anunoby,NYK,SAS,NYK vs. SAS,PRA,23.5,2026-06-03
Devin Vassell,SAS,NYK,SAS vs. NYK,PRA,20.0,2026-06-03
Mikal Bridges,NYK,SAS,NYK vs. SAS,PRA,21.5,2026-06-03
Dylan Harper,SAS,NYK,SAS vs. NYK,PRA,17.5,2026-06-03
Julian Champagnie,SAS,NYK,SAS vs. NYK,PRA,17.5,2026-06-03
Keldon Johnson,SAS,NYK,SAS vs. NYK,PRA,12.5,2026-06-03
Landry Shamet,NYK,SAS,NYK vs. SAS,PRA,10.5,2026-06-03
Miles McBride,NYK,SAS,NYK vs. SAS,PRA,8.0,2026-06-03
Mitchell Robinson,NYK,SAS,NYK vs. SAS,PRA,9.0,2026-06-03
Luke Kornet,SAS,NYK,SAS vs. NYK,PRA,6.5,2026-06-03
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,REB,11.5,2026-06-03
Victor Wembanyama,SAS,NYK,SAS vs. NYK,REB,11.5,2026-06-03
Josh Hart,NYK,SAS,NYK vs. SAS,REB,8.0,2026-06-03
OG Anunoby,NYK,SAS,NYK vs. SAS,REB,5.5,2026-06-03
Julian Champagnie,SAS,NYK,SAS vs. NYK,REB,5.5,2026-06-03
Mitchell Robinson,NYK,SAS,NYK vs. SAS,REB,4.5,2026-06-03
Stephon Castle,SAS,NYK,SAS vs. NYK,REB,5.0,2026-06-03
Devin Vassell,SAS,NYK,SAS vs. NYK,REB,4.0,2026-06-03
Dylan Harper,SAS,NYK,SAS vs. NYK,REB,4.0,2026-06-03
De'Aaron Fox,SAS,NYK,SAS vs. NYK,REB,2.5,2026-06-03
Keldon Johnson,SAS,NYK,SAS vs. NYK,REB,3.0,2026-06-03
Mikal Bridges,NYK,SAS,NYK vs. SAS,REB,3.5,2026-06-03
Jalen Brunson,NYK,SAS,NYK vs. SAS,REB,3.0,2026-06-03
Luke Kornet,SAS,NYK,SAS vs. NYK,REB,2.5,2026-06-03
Landry Shamet,NYK,SAS,NYK vs. SAS,REB,1.5,2026-06-03
Miles McBride,NYK,SAS,NYK vs. SAS,REB,0.5,2026-06-03
Jalen Brunson,NYK,SAS,NYK vs. SAS,AST,6.5,2026-06-03
Stephon Castle,SAS,NYK,SAS vs. NYK,AST,7.0,2026-06-03
De'Aaron Fox,SAS,NYK,SAS vs. NYK,AST,6.0,2026-06-03
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,AST,4.0,2026-06-03
Josh Hart,NYK,SAS,NYK vs. SAS,AST,4.5,2026-06-03
Victor Wembanyama,SAS,NYK,SAS vs. NYK,AST,3.0,2026-06-03
Dylan Harper,SAS,NYK,SAS vs. NYK,AST,2.5,2026-06-03
Mikal Bridges,NYK,SAS,NYK vs. SAS,AST,3.0,2026-06-03
Devin Vassell,SAS,NYK,SAS vs. NYK,AST,1.5,2026-06-03
OG Anunoby,NYK,SAS,NYK vs. SAS,AST,1.5,2026-06-03
Julian Champagnie,SAS,NYK,SAS vs. NYK,AST,0.5,2026-06-03
Miles McBride,NYK,SAS,NYK vs. SAS,AST,0.5,2026-06-03
Landry Shamet,NYK,SAS,NYK vs. SAS,AST,0.5,2026-06-03
Keldon Johnson,SAS,NYK,SAS vs. NYK,AST,2.5,2026-06-03
Luke Kornet,SAS,NYK,SAS vs. NYK,AST,1.5,2026-06-03
Jose Alvarado,NYK,SAS,NYK vs. SAS,AST,0.5,2026-06-03
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,RA,15.5,2026-06-03
Victor Wembanyama,SAS,NYK,SAS vs. NYK,RA,15.0,2026-06-03
Josh Hart,NYK,SAS,NYK vs. SAS,RA,12.5,2026-06-03
Stephon Castle,SAS,NYK,SAS vs. NYK,RA,12.0,2026-06-03
Jalen Brunson,NYK,SAS,NYK vs. SAS,RA,9.5,2026-06-03
De'Aaron Fox,SAS,NYK,SAS vs. NYK,RA,11.5,2026-06-03
OG Anunoby,NYK,SAS,NYK vs. SAS,RA,9.5,2026-06-03
Devin Vassell,SAS,NYK,SAS vs. NYK,RA,7.5,2026-06-03
Dylan Harper,SAS,NYK,SAS vs. NYK,RA,6.5,2026-06-03
Julian Champagnie,SAS,NYK,SAS vs. NYK,RA,7.0,2026-06-03
Mikal Bridges,NYK,SAS,NYK vs. SAS,RA,6.5,2026-06-03
Keldon Johnson,SAS,NYK,SAS vs. NYK,RA,2.5,2026-06-03
Landry Shamet,NYK,SAS,NYK vs. SAS,RA,1.5,2026-06-03
Luke Kornet,SAS,NYK,SAS vs. NYK,RA,2.5,2026-06-03
Miles McBride,NYK,SAS,NYK vs. SAS,RA,1.5,2026-06-03
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PR,39.5,2026-06-03
Jalen Brunson,NYK,SAS,NYK vs. SAS,PR,28.5,2026-06-03
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PR,29.0,2026-06-03
Josh Hart,NYK,SAS,NYK vs. SAS,PR,20.0,2026-06-03
OG Anunoby,NYK,SAS,NYK vs. SAS,PR,21.5,2026-06-03
Stephon Castle,SAS,NYK,SAS vs. NYK,PR,22.0,2026-06-03
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PR,19.5,2026-06-03
Devin Vassell,SAS,NYK,SAS vs. NYK,PR,17.5,2026-06-03
Mikal Bridges,NYK,SAS,NYK vs. SAS,PR,18.5,2026-06-03
Julian Champagnie,SAS,NYK,SAS vs. NYK,PR,15.5,2026-06-03
Dylan Harper,SAS,NYK,SAS vs. NYK,PR,14.5,2026-06-03
Keldon Johnson,SAS,NYK,SAS vs. NYK,PR,11.5,2026-06-03
Mitchell Robinson,NYK,SAS,NYK vs. SAS,PR,8.5,2026-06-03
Landry Shamet,NYK,SAS,NYK vs. SAS,PR,14.5,2026-06-03
Luke Kornet,SAS,NYK,SAS vs. NYK,PR,9.5,2026-06-03
Miles McBride,NYK,SAS,NYK vs. SAS,PR,6.5,2026-06-03
Jalen Brunson,NYK,SAS,NYK vs. SAS,PA,32.5,2026-06-03
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PA,30.5,2026-06-03
Stephon Castle,SAS,NYK,SAS vs. NYK,PA,23.5,2026-06-03
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PA,21.5,2026-06-03
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PA,21.5,2026-06-03
Devin Vassell,SAS,NYK,SAS vs. NYK,PA,15.5,2026-06-03
Josh Hart,NYK,SAS,NYK vs. SAS,PA,16.5,2026-06-03
Mikal Bridges,NYK,SAS,NYK vs. SAS,PA,17.5,2026-06-03
OG Anunoby,NYK,SAS,NYK vs. SAS,PA,17.5,2026-06-03
Dylan Harper,SAS,NYK,SAS vs. NYK,PA,13.5,2026-06-03
Julian Champagnie,SAS,NYK,SAS vs. NYK,PA,11.5,2026-06-03
Keldon Johnson,SAS,NYK,SAS vs. NYK,PA,9.0,2026-06-03
Landry Shamet,NYK,SAS,NYK vs. SAS,PA,6.5,2026-06-03
Miles McBride,NYK,SAS,NYK vs. SAS,PA,9.5,2026-06-03
