Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Jalen Brunson,NYK,BKN,NYK vs. BKN,PTS,25.5,2026-03-20
Karl-Anthony Towns,NYK,BKN,NYK vs. BKN,PTS,19.5,2026-03-20
OG Anunoby,NYK,BKN,NYK vs. BKN,PTS,21.5,2026-03-20
Mikal Bridges,NYK,BKN,NYK vs. BKN,PTS,12.5,2026-03-20
Danny Wolf,BKN,NYK,BKN vs. NYK,PTS,11.5,2026-03-20
Nic Claxton,BKN,NYK,BKN vs. NYK,PTS,9.5,2026-03-20
Nolan Traore,BKN,NYK,BKN vs. NYK,PTS,9.5,2026-03-20
Landry Shamet,NYK,BKN,NYK vs. BKN,PTS,10.5,2026-03-20
Drake Powell,BKN,NYK,BKN vs. NYK,PTS,7.5,2026-03-20
Mitchell Robinson,NYK,BKN,NYK vs. BKN,PTS,9.5,2026-03-20
Jordan Clarkson,NYK,BKN,NYK vs. BKN,PTS,7.5,2026-03-20
Mohamed Diawara,NYK,BKN,NYK vs. BKN,PTS,6.5,2026-03-20
Kevin Durant,HOU,ATL,HOU vs. ATL,PTS,24.5,2026-03-20
Jalen Johnson,ATL,HOU,ATL vs. HOU,PTS,22.5,2026-03-20
Alperen Sengun,HOU,ATL,HOU vs. ATL,PTS,18.5,2026-03-20
Amen Thompson,HOU,ATL,HOU vs. ATL,PTS,14.5,2026-03-20
CJ McCollum,ATL,HOU,ATL vs. HOU,PTS,17.5,2026-03-20
Jabari Smith,HOU,ATL,HOU vs. ATL,PTS,15.5,2026-03-20
Nickeil Alexander-Walker,ATL,HOU,ATL vs. HOU,PTS,18.5,2026-03-20
Onyeka Okongwu,ATL,HOU,ATL vs. HOU,PTS,14.5,2026-03-20
Reed Sheppard,HOU,ATL,HOU vs. ATL,PTS,12.5,2026-03-20
Tari Eason,HOU,ATL,HOU vs. ATL,PTS,10.5,2026-03-20
Dyson Daniels,ATL,HOU,ATL vs. HOU,PTS,10.5,2026-03-20
Jock Landale,ATL,HOU,ATL vs. HOU,PTS,6.5,2026-03-20
Zaccharie Risacher,ATL,HOU,ATL vs. HOU,PTS,6.5,2026-03-20
Jaylen Brown,BOS,MEM,BOS vs. MEM,PTS,29.5,2026-03-20
Jayson Tatum,BOS,MEM,BOS vs. MEM,PTS,22.5,2026-03-20
Ty Jerome,MEM,BOS,MEM vs. BOS,PTS,18.5,2026-03-20
Derrick White,BOS,MEM,BOS vs. MEM,PTS,16.5,2026-03-20
Payton Pritchard,BOS,MEM,BOS vs. MEM,PTS,16.0,2026-03-20
Taylor Hendricks,MEM,BOS,MEM vs. BOS,PTS,9.5,2026-03-20
Cedric Coward,MEM,BOS,MEM vs. BOS,PTS,11.5,2026-03-20
Neemias Queta,BOS,MEM,BOS vs. MEM,PTS,10.5,2026-03-20
Olivier-Maxence Prosper,MEM,BOS,MEM vs. BOS,PTS,10.5,2026-03-20
Jaylen Wells,MEM,BOS,MEM vs. BOS,PTS,14.5,2026-03-20
Sam Hauser,BOS,MEM,BOS vs. MEM,PTS,7.5,2026-03-20
Baylor Scheierman,BOS,MEM,BOS vs. MEM,PTS,6.5,2026-03-20
Deni Avdija,POR,MIN,POR vs. MIN,PTS,22.5,2026-03-20
Julius Randle,MIN,POR,MIN vs. POR,PTS,23.5,2026-03-20
Jerami Grant,POR,MIN,POR vs. MIN,PTS,16.5,2026-03-20
Ayo Dosunmu,MIN,POR,MIN vs. POR,PTS,17.5,2026-03-20
Jrue Holiday,POR,MIN,POR vs. MIN,PTS,14.5,2026-03-20
