Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Shai Gilgeous-Alexander,OKC,NYK,OKC vs. NYK,PTS,30.5,2026-03-04
Jalen Brunson,NYK,OKC,NYK vs. OKC,PTS,24.5,2026-03-04
Chet Holmgren,OKC,NYK,OKC vs. NYK,PTS,17.5,2026-03-04
Karl-Anthony Towns,NYK,OKC,NYK vs. OKC,PTS,17.5,2026-03-04
Mikal Bridges,NYK,OKC,NYK vs. OKC,PTS,13.5,2026-03-04
OG Anunoby,NYK,OKC,NYK vs. OKC,PTS,14.5,2026-03-04
Isaiah Joe,OKC,NYK,OKC vs. NYK,PTS,9.5,2026-03-04
Josh Hart,NYK,OKC,NYK vs. OKC,PTS,10.5,2026-03-04
Jared McCain,OKC,NYK,OKC vs. NYK,PTS,9.5,2026-03-04
Cason Wallace,OKC,NYK,OKC vs. NYK,PTS,9.5,2026-03-04
Isaiah Hartenstein,OKC,NYK,OKC vs. NYK,PTS,9.5,2026-03-04
Landry Shamet,NYK,OKC,NYK vs. OKC,PTS,8.5,2026-03-04
Luguentz Dort,OKC,NYK,OKC vs. NYK,PTS,8.5,2026-03-04
Alex Caruso,OKC,NYK,OKC vs. NYK,PTS,6.5,2026-03-04
Jose Alvarado,NYK,OKC,NYK vs. OKC,PTS,5.5,2026-03-04
Jaylen Brown,BOS,CHA,BOS vs. CHA,PTS,27.5,2026-03-04
Brandon Miller,CHA,BOS,CHA vs. BOS,PTS,19.5,2026-03-04
Derrick White,BOS,CHA,BOS vs. CHA,PTS,16.5,2026-03-04
Payton Pritchard,BOS,CHA,BOS vs. CHA,PTS,17.5,2026-03-04
Kon Knueppel,CHA,BOS,CHA vs. BOS,PTS,18.5,2026-03-04
LaMelo Ball,CHA,BOS,CHA vs. BOS,PTS,17.5,2026-03-04
Nikola Vučević,BOS,CHA,BOS vs. CHA,PTS,10.5,2026-03-04
Miles Bridges,CHA,BOS,CHA vs. BOS,PTS,12.5,2026-03-04
Coby White,CHA,BOS,CHA vs. BOS,PTS,12.5,2026-03-04
Sam Hauser,BOS,CHA,BOS vs. CHA,PTS,9.5,2026-03-04
Neemias Queta,BOS,CHA,BOS vs. CHA,PTS,10.0,2026-03-04
Baylor Scheierman,BOS,CHA,BOS vs. CHA,PTS,7.5,2026-03-04
Moussa Diabaté,CHA,BOS,CHA vs. BOS,PTS,7.5,2026-03-04
Tyrese Maxey,PHI,UTA,PHI vs. UTA,PTS,33.5,2026-03-04
Keyonte George,UTA,PHI,UTA vs. PHI,PTS,20.5,2026-03-04
Ace Bailey,UTA,PHI,UTA vs. PHI,PTS,16.5,2026-03-04
Quentin Grimes,PHI,UTA,PHI vs. UTA,PTS,16.5,2026-03-04
Brice Sensabaugh,UTA,PHI,UTA vs. PHI,PTS,15.5,2026-03-04
Kelly Oubre,PHI,UTA,PHI vs. UTA,PTS,17.5,2026-03-04
Kyle Filipowski,UTA,PHI,UTA vs. PHI,PTS,13.5,2026-03-04
Isaiah Collier,UTA,PHI,UTA vs. PHI,PTS,13.5,2026-03-04
Dominick Barlow,PHI,UTA,PHI vs. UTA,PTS,10.5,2026-03-04
Andre Drummond,PHI,UTA,PHI vs. UTA,PTS,8.5,2026-03-04
Adem Bona,PHI,UTA,PHI vs. UTA,PTS,4.5,2026-03-04
Jerami Grant,POR,MEM,POR vs. MEM,PTS,19.5,2026-03-04
Deni Avdija,POR,MEM,POR vs. MEM,PTS,19.5,2026-03-04
Jrue Holiday,POR,MEM,POR vs. MEM,PTS,17.5,2026-03-04
Ty Jerome,MEM,POR,MEM vs. POR,PTS,16.5,2026-03-04
Donovan Clingan,POR,MEM,POR vs. MEM,PTS,13.5,2026-03-04
Scoot Henderson,POR,MEM,POR vs. MEM,PTS,13.5,2026-03-04
Toumani Camara,POR,MEM,POR vs. MEM,PTS,13.5,2026-03-04
GG Jackson,MEM,POR,MEM vs. POR,PTS,12.5,2026-03-04
Jaylen Wells,MEM,POR,MEM vs. POR,PTS,11.5,2026-03-04
Santi Aldama,MEM,POR,MEM vs. POR,PTS,11.5,2026-03-04
Cedric Coward,MEM,POR,MEM vs. POR,PTS,11.5,2026-03-04
Robert Williams,POR,MEM,POR vs. MEM,PTS,5.5,2026-03-04
Giannis Antetokounmpo,MIL,ATL,MIL vs. ATL,PTS,25.5,2026-03-04
Jalen Johnson,ATL,MIL,ATL vs. MIL,PTS,20.5,2026-03-04
CJ McCollum,ATL,MIL,ATL vs. MIL,PTS,17.5,2026-03-04
Nickeil Alexander-Walker,ATL,MIL,ATL vs. MIL,PTS,17.5,2026-03-04
Onyeka Okongwu,ATL,MIL,ATL vs. MIL,PTS,14.5,2026-03-04
Jonathan Kuminga,ATL,MIL,ATL vs. MIL,PTS,9.5,2026-03-04
Bobby Portis,MIL,ATL,MIL vs. ATL,PTS,10.5,2026-03-04
Kevin Porter,MIL,ATL,MIL vs. ATL,PTS,14.0,2026-03-04
Ryan Rollins,MIL,ATL,MIL vs. ATL,PTS,12.5,2026-03-04
AJ Green,MIL,ATL,MIL vs. ATL,PTS,7.5,2026-03-04
Dyson Daniels,ATL,MIL,ATL vs. MIL,PTS,10.5,2026-03-04
Jock Landale,ATL,MIL,ATL vs. MIL,PTS,8.0,2026-03-04
Myles Turner,MIL,ATL,MIL vs. ATL,PTS,10.5,2026-03-04
Ousmane Dieng,MIL,ATL,MIL vs. ATL,PTS,8.5,2026-03-04
Zaccharie Risacher,ATL,MIL,ATL vs. MIL,PTS,6.5,2026-03-04
Kawhi Leonard,LAC,IND,LAC vs. IND,PTS,27.5,2026-03-04
Pascal Siakam,IND,LAC,IND vs. LAC,PTS,21.5,2026-03-04
Bennedict Mathurin,LAC,IND,LAC vs. IND,PTS,19.5,2026-03-04
Andrew Nembhard,IND,LAC,IND vs. LAC,PTS,16.5,2026-03-04
Darius Garland,LAC,IND,LAC vs. IND,PTS,13.5,2026-03-04
Aaron Nesmith,IND,LAC,IND vs. LAC,PTS,11.5,2026-03-04
Derrick Jones,LAC,IND,LAC vs. IND,PTS,12.5,2026-03-04
Jay Huff,IND,LAC,IND vs. LAC,PTS,10.5,2026-03-04
Brook Lopez,LAC,IND,LAC vs. IND,PTS,9.5,2026-03-04
Kris Dunn,LAC,IND,LAC vs. IND,PTS,7.5,2026-03-04
T.J. McConnell,IND,LAC,IND vs. LAC,PTS,6.5,2026-03-04
Kobe Sanders,LAC,IND,LAC vs. IND,PTS,6.5,2026-03-04
Shai Gilgeous-Alexander,OKC,NYK,OKC vs. NYK,PRA,41.5,2026-03-04
Jalen Brunson,NYK,OKC,NYK vs. OKC,PRA,33.5,2026-03-04
Karl-Anthony Towns,NYK,OKC,NYK vs. OKC,PRA,32.5,2026-03-04
Chet Holmgren,OKC,NYK,OKC vs. NYK,PRA,27.5,2026-03-04
Josh Hart,NYK,OKC,NYK vs. OKC,PRA,23.5,2026-03-04
Isaiah Hartenstein,OKC,NYK,OKC vs. NYK,PRA,21.5,2026-03-04
Mikal Bridges,NYK,OKC,NYK vs. OKC,PRA,20.5,2026-03-04
OG Anunoby,NYK,OKC,NYK vs. OKC,PRA,21.5,2026-03-04
Isaiah Joe,OKC,NYK,OKC vs. NYK,PRA,14.5,2026-03-04
Cason Wallace,OKC,NYK,OKC vs. NYK,PRA,15.5,2026-03-04
Alex Caruso,OKC,NYK,OKC vs. NYK,PRA,11.5,2026-03-04
Jose Alvarado,NYK,OKC,NYK vs. OKC,PRA,9.5,2026-03-04
Landry Shamet,NYK,OKC,NYK vs. OKC,PRA,9.5,2026-03-04
Luguentz Dort,OKC,NYK,OKC vs. NYK,PRA,13.5,2026-03-04
Jared McCain,OKC,NYK,OKC vs. NYK,PRA,12.5,2026-03-04
Jaylen Brown,BOS,CHA,BOS vs. CHA,PRA,40.0,2026-03-04
Payton Pritchard,BOS,CHA,BOS vs. CHA,PRA,26.5,2026-03-04
Derrick White,BOS,CHA,BOS vs. CHA,PRA,27.5,2026-03-04
LaMelo Ball,CHA,BOS,CHA vs. BOS,PRA,28.5,2026-03-04
Brandon Miller,CHA,BOS,CHA vs. BOS,PRA,27.5,2026-03-04
Kon Knueppel,CHA,BOS,CHA vs. BOS,PRA,26.5,2026-03-04
Nikola Vučević,BOS,CHA,BOS vs. CHA,PRA,20.5,2026-03-04
Coby White,CHA,BOS,CHA vs. BOS,PRA,17.5,2026-03-04
Miles Bridges,CHA,BOS,CHA vs. BOS,PRA,21.5,2026-03-04
Sam Hauser,BOS,CHA,BOS vs. CHA,PRA,14.5,2026-03-04
Baylor Scheierman,BOS,CHA,BOS vs. CHA,PRA,13.5,2026-03-04
Moussa Diabaté,CHA,BOS,CHA vs. BOS,PRA,18.5,2026-03-04
Neemias Queta,BOS,CHA,BOS vs. CHA,PRA,18.5,2026-03-04
Tyrese Maxey,PHI,UTA,PHI vs. UTA,PRA,44.5,2026-03-04
Keyonte George,UTA,PHI,UTA vs. PHI,PRA,28.5,2026-03-04
Kelly Oubre,PHI,UTA,PHI vs. UTA,PRA,24.5,2026-03-04
Kyle Filipowski,UTA,PHI,UTA vs. PHI,PRA,25.5,2026-03-04
Quentin Grimes,PHI,UTA,PHI vs. UTA,PRA,25.5,2026-03-04
Ace Bailey,UTA,PHI,UTA vs. PHI,PRA,22.5,2026-03-04
Isaiah Collier,UTA,PHI,UTA vs. PHI,PRA,20.5,2026-03-04
Andre Drummond,PHI,UTA,PHI vs. UTA,PRA,21.5,2026-03-04
Brice Sensabaugh,UTA,PHI,UTA vs. PHI,PRA,20.5,2026-03-04
Dominick Barlow,PHI,UTA,PHI vs. UTA,PRA,16.5,2026-03-04
Deni Avdija,POR,MEM,POR vs. MEM,PRA,30.5,2026-03-04
Donovan Clingan,POR,MEM,POR vs. MEM,PRA,30.5,2026-03-04
Jrue Holiday,POR,MEM,POR vs. MEM,PRA,27.5,2026-03-04
Jerami Grant,POR,MEM,POR vs. MEM,PRA,25.5,2026-03-04
Ty Jerome,MEM,POR,MEM vs. POR,PRA,24.5,2026-03-04
Santi Aldama,MEM,POR,MEM vs. POR,PRA,21.5,2026-03-04
Scoot Henderson,POR,MEM,POR vs. MEM,PRA,21.5,2026-03-04
Toumani Camara,POR,MEM,POR vs. MEM,PRA,22.5,2026-03-04
Cedric Coward,MEM,POR,MEM vs. POR,PRA,18.5,2026-03-04
Jaylen Wells,MEM,POR,MEM vs. POR,PRA,17.5,2026-03-04
Robert Williams,POR,MEM,POR vs. MEM,PRA,15.5,2026-03-04
Giannis Antetokounmpo,MIL,ATL,MIL vs. ATL,PRA,40.5,2026-03-04
Jalen Johnson,ATL,MIL,ATL vs. MIL,PRA,38.0,2026-03-04
Jonathan Kuminga,ATL,MIL,ATL vs. MIL,PRA,22.5,2026-03-04
Onyeka Okongwu,ATL,MIL,ATL vs. MIL,PRA,26.5,2026-03-04
Kevin Porter,MIL,ATL,MIL vs. ATL,PRA,25.5,2026-03-04
CJ McCollum,ATL,MIL,ATL vs. MIL,PRA,23.5,2026-03-04
Nickeil Alexander-Walker,ATL,MIL,ATL vs. MIL,PRA,25.0,2026-03-04
Dyson Daniels,ATL,MIL,ATL vs. MIL,PRA,22.5,2026-03-04
Ryan Rollins,MIL,ATL,MIL vs. ATL,PRA,21.0,2026-03-04
Bobby Portis,MIL,ATL,MIL vs. ATL,PRA,15.5,2026-03-04
Myles Turner,MIL,ATL,MIL vs. ATL,PRA,16.5,2026-03-04
AJ Green,MIL,ATL,MIL vs. ATL,PRA,13.0,2026-03-04
Jock Landale,ATL,MIL,ATL vs. MIL,PRA,14.5,2026-03-04
Zaccharie Risacher,ATL,MIL,ATL vs. MIL,PRA,11.5,2026-03-04
Kawhi Leonard,LAC,IND,LAC vs. IND,PRA,38.5,2026-03-04
Pascal Siakam,IND,LAC,IND vs. LAC,PRA,30.5,2026-03-04
Bennedict Mathurin,LAC,IND,LAC vs. IND,PRA,27.5,2026-03-04
Andrew Nembhard,IND,LAC,IND vs. LAC,PRA,25.5,2026-03-04
Darius Garland,LAC,IND,LAC vs. IND,PRA,21.5,2026-03-04
Derrick Jones,LAC,IND,LAC vs. IND,PRA,17.5,2026-03-04
Aaron Nesmith,IND,LAC,IND vs. LAC,PRA,16.5,2026-03-04
Jay Huff,IND,LAC,IND vs. LAC,PRA,16.5,2026-03-04
Kris Dunn,LAC,IND,LAC vs. IND,PRA,17.5,2026-03-04
Brook Lopez,LAC,IND,LAC vs. IND,PRA,16.5,2026-03-04
Kobe Sanders,LAC,IND,LAC vs. IND,PRA,12.5,2026-03-04
T.J. McConnell,IND,LAC,IND vs. LAC,PRA,12.5,2026-03-04
Karl-Anthony Towns,NYK,OKC,NYK vs. OKC,REB,12.5,2026-03-04
Chet Holmgren,OKC,NYK,OKC vs. NYK,REB,8.5,2026-03-04
Isaiah Hartenstein,OKC,NYK,OKC vs. NYK,REB,7.5,2026-03-04
Josh Hart,NYK,OKC,NYK vs. OKC,REB,6.5,2026-03-04
Shai Gilgeous-Alexander,OKC,NYK,OKC vs. NYK,REB,3.5,2026-03-04
OG Anunoby,NYK,OKC,NYK vs. OKC,REB,3.5,2026-03-04
Alex Caruso,OKC,NYK,OKC vs. NYK,REB,2.5,2026-03-04
Cason Wallace,OKC,NYK,OKC vs. NYK,REB,2.5,2026-03-04
Jalen Brunson,NYK,OKC,NYK vs. OKC,REB,2.5,2026-03-04
Luguentz Dort,OKC,NYK,OKC vs. NYK,REB,2.5,2026-03-04
Mikal Bridges,NYK,OKC,NYK vs. OKC,REB,2.5,2026-03-04
Isaiah Joe,OKC,NYK,OKC vs. NYK,REB,2.5,2026-03-04
