Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Deni Avdija,POR,DEN,POR vs. DEN,PTS,23.5,2026-03-22
Jamal Murray,DEN,POR,DEN vs. POR,PTS,23.5,2026-03-22
Nikola Jokic,DEN,POR,DEN vs. POR,PTS,27.5,2026-03-22
Jerami Grant,POR,DEN,POR vs. DEN,PTS,17.5,2026-03-22
Jrue Holiday,POR,DEN,POR vs. DEN,PTS,15.5,2026-03-22
Aaron Gordon,DEN,POR,DEN vs. POR,PTS,15.5,2026-03-22
Donovan Clingan,POR,DEN,POR vs. DEN,PTS,13.5,2026-03-22
Scoot Henderson,POR,DEN,POR vs. DEN,PTS,13.5,2026-03-22
Toumani Camara,POR,DEN,POR vs. DEN,PTS,12.5,2026-03-22
Tim Hardaway,DEN,POR,DEN vs. POR,PTS,10.5,2026-03-22
Cameron Johnson,DEN,POR,DEN vs. POR,PTS,10.5,2026-03-22
Christian Braun,DEN,POR,DEN vs. POR,PTS,11.5,2026-03-22
Peyton Watson,DEN,POR,DEN vs. POR,PTS,9.5,2026-03-22
Robert Williams,POR,DEN,POR vs. DEN,PTS,6.5,2026-03-22
DeMar DeRozan,SAC,BKN,SAC vs. BKN,PTS,19.5,2026-03-22
Maxime Raynaud,SAC,BKN,SAC vs. BKN,PTS,17.5,2026-03-22
Malik Monk,SAC,BKN,SAC vs. BKN,PTS,13.5,2026-03-22
Nique Clifford,SAC,BKN,SAC vs. BKN,PTS,13.5,2026-03-22
Danny Wolf,BKN,SAC,BKN vs. SAC,PTS,12.5,2026-03-22
Josh Minott,BKN,SAC,BKN vs. SAC,PTS,11.5,2026-03-22
Precious Achiuwa,SAC,BKN,SAC vs. BKN,PTS,15.5,2026-03-22
Daeqwon Plowden,SAC,BKN,SAC vs. BKN,PTS,11.5,2026-03-22
Nolan Traore,BKN,SAC,BKN vs. SAC,PTS,11.5,2026-03-22
Ziaire Williams,BKN,SAC,BKN vs. SAC,PTS,9.5,2026-03-22
Doug McDermott,SAC,BKN,SAC vs. BKN,PTS,6.5,2026-03-22
Ochai Agbaji,BKN,SAC,BKN vs. SAC,PTS,6.5,2026-03-22
Chaney Johnson,BKN,SAC,BKN vs. SAC,PTS,9.5,2026-03-22
Drake Powell,BKN,SAC,BKN vs. SAC,PTS,7.5,2026-03-22
Terance Mann,BKN,SAC,BKN vs. SAC,PTS,7.5,2026-03-22
Dylan Cardwell,SAC,BKN,SAC vs. BKN,PTS,5.5,2026-03-22
Jalen Brunson,NYK,WAS,NYK vs. WAS,PTS,25.5,2026-03-22
Karl-Anthony Towns,NYK,WAS,NYK vs. WAS,PTS,21.5,2026-03-22
OG Anunoby,NYK,WAS,NYK vs. WAS,PTS,17.5,2026-03-22
Bilal Coulibaly,WAS,NYK,WAS vs. NYK,PTS,12.5,2026-03-22
Josh Hart,NYK,WAS,NYK vs. WAS,PTS,13.5,2026-03-22
Mikal Bridges,NYK,WAS,NYK vs. WAS,PTS,12.5,2026-03-22
Tre Johnson,WAS,NYK,WAS vs. NYK,PTS,12.5,2026-03-22
Will Riley,WAS,NYK,WAS vs. NYK,PTS,14.5,2026-03-22
Alex Sarr,WAS,NYK,WAS vs. NYK,PTS,11.5,2026-03-22
Bub Carrington,WAS,NYK,WAS vs. NYK,PTS,10.5,2026-03-22
Tristan Vukcevic,WAS,NYK,WAS vs. NYK,PTS,10.5,2026-03-22
Jose Alvarado,NYK,WAS,NYK vs. WAS,PTS,6.5,2026-03-22
Mohamed Diawara,NYK,WAS,NYK vs. WAS,PTS,5.5,2026-03-22
Mitchell Robinson,NYK,WAS,NYK vs. WAS,PTS,4.5,2026-03-22
Jaylen Brown,BOS,MIN,BOS vs. MIN,PTS,25.5,2026-03-22
Jayson Tatum,BOS,MIN,BOS vs. MIN,PTS,21.5,2026-03-22
Julius Randle,MIN,BOS,MIN vs. BOS,PTS,21.5,2026-03-22
Ayo Dosunmu,MIN,BOS,MIN vs. BOS,PTS,16.5,2026-03-22
Derrick White,BOS,MIN,BOS vs. MIN,PTS,16.5,2026-03-22
Payton Pritchard,BOS,MIN,BOS vs. MIN,PTS,15.5,2026-03-22
Jaden McDaniels,MIN,BOS,MIN vs. BOS,PTS,14.5,2026-03-22
Donte DiVincenzo,MIN,BOS,MIN vs. BOS,PTS,12.5,2026-03-22
Naz Reid,MIN,BOS,MIN vs. BOS,PTS,11.5,2026-03-22
Rudy Gobert,MIN,BOS,MIN vs. BOS,PTS,11.5,2026-03-22
Neemias Queta,BOS,MIN,BOS vs. MIN,PTS,8.5,2026-03-22
Luka Garza,BOS,MIN,BOS vs. MIN,PTS,8.5,2026-03-22
Sam Hauser,BOS,MIN,BOS vs. MIN,PTS,6.5,2026-03-22
Devin Booker,PHX,TOR,PHX vs. TOR,PTS,25.5,2026-03-22
Jalen Green,PHX,TOR,PHX vs. TOR,PTS,21.5,2026-03-22
Brandon Ingram,TOR,PHX,TOR vs. PHX,PTS,20.5,2026-03-22
RJ Barrett,TOR,PHX,TOR vs. PHX,PTS,19.5,2026-03-22
Immanuel Quickley,TOR,PHX,TOR vs. PHX,PTS,16.5,2026-03-22
Scottie Barnes,TOR,PHX,TOR vs. PHX,PTS,16.5,2026-03-22
Grayson Allen,PHX,TOR,PHX vs. TOR,PTS,13.5,2026-03-22
Jakob Poeltl,TOR,PHX,TOR vs. PHX,PTS,11.5,2026-03-22
Collin Gillespie,PHX,TOR,PHX vs. TOR,PTS,12.5,2026-03-22
Oso Ighodaro,PHX,TOR,PHX vs. TOR,PTS,8.5,2026-03-22
Royce O'Neale,PHX,TOR,PHX vs. TOR,PTS,8.5,2026-03-22
Sandro Mamukelashvili,TOR,PHX,TOR vs. PHX,PTS,8.5,2026-03-22
