Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Dylan Harper,SAS,NYK,SAS vs. NYK,RA,7.5,2026-06-05
Devin Vassell,SAS,NYK,SAS vs. NYK,RA,7.5,2026-06-05
Julian Champagnie,SAS,NYK,SAS vs. NYK,RA,6.5,2026-06-05
Mikal Bridges,NYK,SAS,NYK vs. SAS,RA,4.5,2026-06-05
Keldon Johnson,SAS,NYK,SAS vs. NYK,RA,4.5,2026-06-05
Landry Shamet,NYK,SAS,NYK vs. SAS,RA,4.5,2026-06-05
Miles McBride,NYK,SAS,NYK vs. SAS,RA,4.5,2026-06-05
Jalen Brunson,NYK,SAS,NYK vs. SAS,PA,31.5,2026-06-05
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PA,29.5,2026-06-05
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PA,20.5,2026-06-05
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PA,21.5,2026-06-05
Stephon Castle,SAS,NYK,SAS vs. NYK,PA,23.5,2026-06-05
Josh Hart,NYK,SAS,NYK vs. SAS,PA,16.5,2026-06-05
OG Anunoby,NYK,SAS,NYK vs. SAS,PA,17.5,2026-06-05
Devin Vassell,SAS,NYK,SAS vs. NYK,PA,15.5,2026-06-05
Dylan Harper,SAS,NYK,SAS vs. NYK,PA,14.5,2026-06-05
Mikal Bridges,NYK,SAS,NYK vs. SAS,PA,14.5,2026-06-05
Julian Champagnie,SAS,NYK,SAS vs. NYK,PA,12.5,2026-06-05
Keldon Johnson,SAS,NYK,SAS vs. NYK,PA,14.5,2026-06-05
Landry Shamet,NYK,SAS,NYK vs. SAS,PA,14.5,2026-06-05
Miles McBride,NYK,SAS,NYK vs. SAS,PA,9.5,2026-06-05
Victor Wembanyama,SAS,NYK,SAS vs. NYK,PR,38.5,2026-06-05
Jalen Brunson,NYK,SAS,NYK vs. SAS,PR,28.5,2026-06-05
Karl-Anthony Towns,NYK,SAS,NYK vs. SAS,PR,28.5,2026-06-05
Josh Hart,NYK,SAS,NYK vs. SAS,PR,20.5,2026-06-05
OG Anunoby,NYK,SAS,NYK vs. SAS,PR,20.5,2026-06-05
Stephon Castle,SAS,NYK,SAS vs. NYK,PR,21.5,2026-06-05
De'Aaron Fox,SAS,NYK,SAS vs. NYK,PR,17.5,2026-06-05
Devin Vassell,SAS,NYK,SAS vs. NYK,PR,17.5,2026-06-05
Dylan Harper,SAS,NYK,SAS vs. NYK,PR,16.5,2026-06-05
Julian Champagnie,SAS,NYK,SAS vs. NYK,PR,16.5,2026-06-05
Keldon Johnson,SAS,NYK,SAS vs. NYK,PR,10.5,2026-06-05
Mikal Bridges,NYK,SAS,NYK vs. SAS,PR,14.5,2026-06-05
Mitchell Robinson,NYK,SAS,NYK vs. SAS,PR,8.5,2026-06-05
Landry Shamet,NYK,SAS,NYK vs. SAS,PR,14.5,2026-06-05
Luke Kornet,SAS,NYK,SAS vs. NYK,PR,9.5,2026-06-05
Miles McBride,NYK,SAS,NYK vs. SAS,PR,9.5,2026-06-05
