Legs,Joint Prob,Payout,Picks,Result
2,0.5859840000000001,3.0x,AJ Green Under 9.5 PTS | T.J. McConnell Under 4.5 REB,WIN
2,0.582144,3.0x,AJ Green Under 9.5 PTS | Andre Drummond Under 9.5 PTS,WIN
2,0.578354,3.0x,Andre Drummond Under 9.5 PTS | T.J. McConnell Under 4.5 REB,WIN
2,0.572928,3.0x,AJ Green Under 9.5 PTS | Jerami Grant Under 19.5 PTS,LOSS
2,0.572928,3.0x,AJ Green Under 9.5 PTS | Deni Avdija Under 6.0 REB,PUSH/DOWNGRADE
2,0.569198,3.0x,Jerami Grant Under 19.5 PTS | T.J. McConnell Under 4.5 REB,LOSS
2,0.569198,3.0x,Deni Avdija Under 6.0 REB | T.J. McConnell Under 4.5 REB,PUSH/DOWNGRADE
2,0.566016,3.0x,AJ Green Under 9.5 PTS | Jerami Grant Under 22.5 PR,LOSS
2,0.565468,3.0x,Andre Drummond Under 9.5 PTS | Jerami Grant Under 19.5 PTS,LOSS
2,0.565468,3.0x,Andre Drummond Under 9.5 PTS | Deni Avdija Under 6.0 REB,PUSH/DOWNGRADE
3,0.444175872,6.0x,AJ Green Under 9.5 PTS | Andre Drummond Under 9.5 PTS | T.J. McConnell Under 4.5 REB,WIN
3,0.437144064,6.0x,AJ Green Under 9.5 PTS | Jerami Grant Under 19.5 PTS | T.J. McConnell Under 4.5 REB,LOSS
3,0.437144064,6.0x,AJ Green Under 9.5 PTS | Deni Avdija Under 6.0 REB | T.J. McConnell Under 4.5 REB,PUSH/DOWNGRADE
3,0.4342794239999999,6.0x,AJ Green Under 9.5 PTS | Andre Drummond Under 9.5 PTS | Jerami Grant Under 19.5 PTS,LOSS
3,0.4342794239999999,6.0x,AJ Green Under 9.5 PTS | Andre Drummond Under 9.5 PTS | Deni Avdija Under 6.0 REB,PUSH/DOWNGRADE
3,0.4319232,6.0x,AJ Green Under 9.5 PTS | Deni Avdija Under 6.0 REB | Jerami Grant Under 22.5 PR,LOSS
3,0.431870208,6.0x,AJ Green Under 9.5 PTS | Jerami Grant Under 22.5 PR | T.J. McConnell Under 4.5 REB,LOSS
3,0.4314520839999999,6.0x,Andre Drummond Under 9.5 PTS | Deni Avdija Under 6.0 REB | T.J. McConnell Under 4.5 REB,PUSH/DOWNGRADE
3,0.4314520839999999,6.0x,Andre Drummond Under 9.5 PTS | Jerami Grant Under 19.5 PTS | T.J. McConnell Under 4.5 REB,LOSS
3,0.43069824,6.0x,AJ Green Under 9.5 PTS | Jerami Grant Under 21.5 PA | T.J. McConnell Under 4.5 REB,LOSS
4,0.3313552005119999,10.0x,AJ Green Under 9.5 PTS | Andre Drummond Under 9.5 PTS | Jerami Grant Under 19.5 PTS | T.J. McConnell Under 4.5 REB,LOSS
4,0.3313552005119999,10.0x,AJ Green Under 9.5 PTS | Andre Drummond Under 9.5 PTS | Deni Avdija Under 6.0 REB | T.J. McConnell Under 4.5 REB,PUSH/DOWNGRADE
4,0.3295574016,10.0x,AJ Green Under 9.5 PTS | Deni Avdija Under 6.0 REB | Jerami Grant Under 22.5 PR | T.J. McConnell Under 4.5 REB,LOSS
