Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
DeAndre Jordan,NO,UTA,AST,0.5,0.41,0.75,Under,0.0,70.0,S Tier,2026-02-28,2026-02-28,0,WIN,1,-0.41,AST
Josh Okogie,HOU,MIA,AST,1.5,1.08,0.731,Under,0.0,60.0,S Tier,2026-02-28,2026-02-28,0,WIN,1,-1.08,AST
Bub Carrington,WSH,TOR,PA,13.5,11.0,0.696,Under,0.263,50.0,A Tier,2026-02-28,2026-02-28,17,LOSS,0,6.0,PA
Bub Carrington,WSH,TOR,PR,13.5,11.17,0.688,Under,0.248,70.0,A Tier,2026-02-28,2026-02-28,15,LOSS,0,3.83,PR
Amen Thompson,HOU,MIA,PR,23.5,20.09,0.674,Under,0.296,70.0,A Tier,2026-02-28,2026-02-28,31,LOSS,0,10.91,PR
Davion Mitchell,MIA,HOU,PRA,16.5,14.71,0.65,Under,0.283,50.0,A Tier,2026-02-28,2026-02-28,18,LOSS,0,3.289999999999999,PRA
Bub Carrington,WSH,TOR,PRA,17.5,15.75,0.645,Under,0.188,70.0,A Tier,2026-02-28,2026-02-28,20,LOSS,0,4.25,PRA
Davion Mitchell,MIA,HOU,PA,14.5,12.2,0.68,Under,0.32,60.0,B Tier,2026-02-28,2026-02-28,15,LOSS,0,2.8000000000000007,PA
Amen Thompson,HOU,MIA,PRA,28.5,24.42,0.674,Under,0.315,60.0,B Tier,2026-02-28,2026-02-28,35,LOSS,0,10.579999999999998,PRA
Amen Thompson,HOU,MIA,PA,20.5,17.63,0.67,Under,0.339,70.0,B Tier,2026-02-28,2026-02-28,24,LOSS,0,6.370000000000001,PA
Coby White,CHA,POR,PA,15.5,13.76,0.66,Under,0.291,60.0,B Tier,2026-02-28,2026-02-28,21,LOSS,0,7.24,PA
Coby White,CHA,POR,PRA,17.5,15.8,0.653,Under,0.269,50.0,B Tier,2026-02-28,2026-02-28,24,LOSS,0,8.2,PRA
Scoot Henderson,POR,CHA,PTS,16.5,14.97,0.641,Under,0.343,60.0,B Tier,2026-02-28,2026-02-28,8,WIN,1,-6.970000000000001,PTS
Scoot Henderson,POR,CHA,PA,22.5,20.51,0.638,Under,0.205,40.0,B Tier,2026-02-28,2026-02-28,12,WIN,1,-8.510000000000002,PA
RJ Barrett,TOR,WAS,PR,23.5,21.43,0.638,Under,0.267,70.0,B Tier,2026-02-28,2026-02-28,26,LOSS,0,4.57,PR
Scoot Henderson,POR,CHA,PRA,25.5,23.45,0.635,Under,0.277,40.0,B Tier,2026-02-28,2026-02-28,15,WIN,1,-8.45,PRA
RJ Barrett,TOR,WAS,PRA,27.5,25.42,0.631,Under,0.243,70.0,B Tier,2026-02-28,2026-02-28,29,LOSS,0,3.5799999999999983,PRA
Herbert Jones,NO,UTA,PRA,17.5,16.17,0.629,Under,0.259,70.0,B Tier,2026-02-28,2026-02-28,32,LOSS,0,15.829999999999998,PRA
Brice Sensabaugh,UTAH,NOP,RA,4.5,4.1,0.625,Under,0.341,40.0,B Tier,2026-02-28,2026-02-28,5,LOSS,0,0.9000000000000004,RA
Zion Williamson,NO,UTA,PR,31.5,29.46,0.624,Under,0.21,70.0,B Tier,2026-02-28,2026-02-28,5,WIN,1,-24.46,PR
Pat Spencer,GS,LAL,RA,6.5,8.24,0.623,Over,0.294,100.0,B Tier,2026-02-28,2026-02-28,7,WIN,1,-1.2400000000000002,RA
Zion Williamson,NO,UTA,PTS,25.5,23.81,0.622,Under,0.318,60.0,B Tier,2026-02-28,2026-02-28,4,WIN,1,-19.81,PTS
Jerami Grant,POR,CHA,RA,5.5,5.06,0.617,Under,0.315,40.0,B Tier,2026-02-28,2026-02-28,3,WIN,1,-2.0599999999999996,RA
Herbert Jones,NO,UTA,PA,13.5,12.66,0.617,Under,0.311,60.0,B Tier,2026-02-28,2026-02-28,24,LOSS,0,11.34,PA
Zion Williamson,NO,UTA,PA,29.5,27.87,0.616,Under,0.226,50.0,B Tier,2026-02-28,2026-02-28,6,WIN,1,-21.87,PA
Immanuel Quickley,TOR,WAS,PRA,28.5,27.06,0.615,Under,0.287,70.0,B Tier,2026-02-28,2026-02-28,40,LOSS,0,12.940000000000001,PRA
Derik Queen,NO,UTA,RA,9.5,8.8,0.614,Under,0.267,90.0,B Tier,2026-02-28,2026-02-28,12,LOSS,0,3.1999999999999993,RA
Kon Knueppel,CHA,POR,RA,8.5,7.86,0.614,Under,0.329,50.0,B Tier,2026-02-28,2026-02-28,9,LOSS,0,1.1399999999999997,RA
Zion Williamson,NO,UTA,PRA,35.5,33.79,0.614,Under,0.162,70.0,B Tier,2026-02-28,2026-02-28,7,WIN,1,-26.79,PRA
