Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
RJ Barrett,TOR,SAS,RA,7.5,8.46,0.643,Over,0.206,50.0,A Tier,2026-02-25,2026-02-25,10.0,WIN,1.0,1.5399999999999991,RA
AJ Green,MIL,CLE,RA,3.5,4.66,0.699,Over,0.313,50.0,B Tier,2026-02-25,2026-02-25,3.0,LOSS,0.0,-1.6600000000000001,RA
Derrick White,BOS,DEN,RA,9.5,11.58,0.678,Over,0.302,50.0,B Tier,2026-02-25,2026-02-25,9.0,LOSS,0.0,-2.58,RA
Tobias Harris,DET,OKC,PTS,13.5,11.51,0.633,Under,0.296,50.0,B Tier,2026-02-25,2026-02-25,4.0,WIN,1.0,-7.51,PTS
James Harden,CLE,MIL,PRA,33.5,31.31,0.63,Under,0.118,50.0,B Tier,2026-02-25,2026-02-25,,Pending / Not Found,,,PRA
Harrison Barnes,SA,TOR,PA,14.5,12.45,0.629,Under,0.311,50.0,B Tier,2026-02-25,2026-02-25,10.0,WIN,1.0,-2.4499999999999993,PA
GG Jackson,MEM,GSW,RA,6.5,7.56,0.624,Over,0.262,50.0,B Tier,2026-02-25,2026-02-25,10.0,WIN,1.0,2.4400000000000004,RA
Ryan Rollins,MIL,CLE,PR,23.5,25.55,0.611,Over,0.154,50.0,B Tier,2026-02-25,2026-02-25,21.0,LOSS,0.0,-4.550000000000001,PR
James Harden,CLE,MIL,PA,28.5,27.17,0.609,Under,0.109,50.0,B Tier,2026-02-25,2026-02-25,,Pending / Not Found,,,PA
Ryan Rollins,MIL,CLE,PTS,18.5,20.25,0.605,Over,0.193,50.0,B Tier,2026-02-25,2026-02-25,18.0,LOSS,0.0,-2.25,PTS
Victor Wembanyama,SA,TOR,REB,11.5,10.87,0.596,Under,0.349,50.0,B Tier,2026-02-25,2026-02-25,8.0,WIN,1.0,-2.869999999999999,REB
Cam Spencer,MEM,GSW,RA,6.5,7.37,0.59,Over,0.336,50.0,B Tier,2026-02-25,2026-02-25,3.0,LOSS,0.0,-4.37,RA
Gui Santos,GS,MEM,RA,8.5,9.55,0.587,Over,0.335,50.0,B Tier,2026-02-25,2026-02-25,7.0,LOSS,0.0,-2.5500000000000007,RA
Tobias Harris,DET,OKC,PA,15.5,14.13,0.587,Under,0.261,50.0,B Tier,2026-02-25,2026-02-25,5.0,WIN,1.0,-9.13,PA
Jaylen Wells,MEM,GSW,PA,12.5,14.43,0.585,Over,0.343,50.0,B Tier,2026-02-25,2026-02-25,11.0,LOSS,0.0,-3.4299999999999997,PA
Reed Sheppard,HOU,SAC,PTS,14.5,15.77,0.582,Over,0.321,50.0,B Tier,2026-02-25,2026-02-25,28.0,WIN,1.0,12.23,PTS
Collin Murray-Boyles,TOR,SAS,REB,5.5,4.29,0.721,Under,0.379,50.0,C Tier,2026-02-25,2026-02-25,5.0,WIN,1.0,0.71,REB
Ty Jerome,MEM,GSW,RA,5.5,7.1,0.64,Over,0.392,50.0,C Tier,2026-02-25,2026-02-25,8.0,WIN,1.0,0.9000000000000004,RA
Aaron Wiggins,OKC,DET,REB,2.5,3.16,0.611,Over,0.265,50.0,C Tier,2026-02-25,2026-02-25,4.0,WIN,1.0,0.8399999999999999,REB
Isaiah Hartenstein,OKC,DET,PTS,9.5,11.0,0.605,Over,0.356,50.0,C Tier,2026-02-25,2026-02-25,,Pending / Not Found,,,PTS
Ty Jerome,MEM,GSW,PA,19.5,21.86,0.602,Over,0.219,50.0,C Tier,2026-02-25,2026-02-25,27.0,WIN,1.0,5.140000000000001,PA
Julian Champagnie,SA,TOR,RA,4.5,5.34,0.598,Over,0.368,50.0,C Tier,2026-02-25,2026-02-25,11.0,WIN,1.0,5.66,RA
Cameron Johnson,DEN,BOS,AST,1.5,1.48,0.595,Under,0.393,50.0,C Tier,2026-02-25,2026-02-25,3.0,LOSS,0.0,1.52,AST
Ty Jerome,MEM,GSW,PTS,15.5,17.24,0.594,Over,0.238,50.0,C Tier,2026-02-25,2026-02-25,22.0,WIN,1.0,4.760000000000002,PTS
Maxime Raynaud,SAC,HOU,PA,19.5,17.57,0.587,Under,0.382,50.0,C Tier,2026-02-25,2026-02-25,13.0,WIN,1.0,-4.57,PA
Ty Jerome,MEM,GSW,PR,18.5,20.49,0.586,Over,0.238,50.0,C Tier,2026-02-25,2026-02-25,25.0,WIN,1.0,4.510000000000002,PR
Harrison Barnes,SA,TOR,PRA,9.5,10.81,0.586,Over,0.222,50.0,C Tier,2026-02-25,2026-02-25,13.0,WIN,1.0,2.1899999999999995,PRA
