Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Mapped_Prop
Rui Hachimura,LAL,IND,REB,2.5,2.71,0.55,Under,1.022,80.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Jeremiah Fears,NO,PHX,REB,2.5,3.41,0.549,Under,1.054,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Jaylen Brown,BOS,DAL,PRA,38.5,39.63,0.548,Under,0.472,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Khris Middleton,DAL,BOS,PRA,17.5,18.28,0.548,Under,0.512,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Micah Potter,IND,LAL,REB,5.5,6.31,0.547,Over,0.493,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Keldon Johnson,SA,LAC,PTS,11.5,12.02,0.547,Under,0.731,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Julian Champagnie,SA,LAC,PR,14.5,15.2,0.546,Under,0.589,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Jamal Murray,DEN,NYK,PA,30.5,35.94,0.545,Over,0.568,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Marcus Smart,LAL,IND,PR,11.5,12.04,0.545,Under,0.489,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Coby White,CHA,MIA,PR,15.5,17.55,0.545,Over,0.359,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Jerami Grant,POR,HOU,RA,5.5,6.42,0.544,Over,0.627,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Amen Thompson,HOU,POR,PR,24.5,26.92,0.544,Over,0.369,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Luke Kennard,LAL,IND,RA,3.5,3.85,0.544,Under,0.878,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Payton Pritchard,BOS,DAL,REB,2.5,3.07,0.543,Over,0.543,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Saddiq Bey,NO,PHX,PA,19.5,20.67,0.543,Under,0.499,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Jerami Grant,POR,HOU,PA,21.5,24.25,0.542,Over,0.452,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Luke Kornet,SA,LAC,AST,0.5,0.95,0.542,Over,0.537,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Herbert Jones,NO,PHX,RA,5.5,6.55,0.542,Over,0.488,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Alperen Sengun,HOU,POR,PA,25.5,28.9,0.542,Over,0.525,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Naji Marshall,DAL,BOS,REB,4.5,5.23,0.542,Over,0.602,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Carter Bryant,SA,LAC,PR,11.5,12.51,0.542,Under,0.909,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Devin Vassell,SA,LAC,AST,1.5,2.06,0.541,Over,0.665,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Kevin Durant,HOU,POR,PA,32.5,33.89,0.541,Under,0.506,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Jerami Grant,POR,HOU,PTS,19.0,22.11,0.54,Over,0.445,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Brandon Williams,DAL,BOS,REB,2.5,3.19,0.54,Over,0.728,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Grant Williams,CHA,MIA,PRA,11.5,14.1,0.54,Over,0.467,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Cooper Flagg,DAL,BOS,PA,20.5,25.22,0.539,Over,0.513,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PA
Kevin Durant,HOU,POR,REB,5.5,6.18,0.538,Over,0.559,40.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Dejounte Murray,NO,PHX,REB,4.5,5.04,0.538,Over,0.424,30.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Landry Shamet,NY,DEN,RA,3.5,4.05,0.538,Over,0.562,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
