Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
Lauri Markkanen,UTAH,HOU,PTS,18.5,21.64,0.641,Over,0.212,50.0,A Tier,2026-02-23,2026-02-23,29.0,WIN,1.0,7.359999999999999,PTS
Jabari Smith Jr.,HOU,UTA,RA,8.5,9.7,0.64,Over,0.249,50.0,A Tier,2026-02-23,2026-02-23,9.0,WIN,1.0,-0.6999999999999993,RA
Jabari Smith Jr.,HOU,UTA,REB,6.5,8.01,0.646,Over,0.339,50.0,B Tier,2026-02-23,2026-02-23,9.0,WIN,1.0,0.9900000000000002,REB
Malik Monk,SAC,MEM,PTS,12.5,15.01,0.626,Over,0.311,50.0,B Tier,2026-02-23,2026-02-23,10.0,LOSS,0.0,-5.01,PTS
Malik Monk,SAC,MEM,PRA,17.5,20.07,0.624,Over,0.217,50.0,B Tier,2026-02-23,2026-02-23,12.0,LOSS,0.0,-8.07,PRA
Tobias Harris,DET,SAS,PRA,21.5,24.04,0.616,Over,0.235,50.0,B Tier,2026-02-23,2026-02-23,14.0,LOSS,0.0,-10.04,PRA
Jabari Smith Jr.,HOU,UTA,PRA,24.5,26.68,0.615,Over,0.17,50.0,B Tier,2026-02-23,2026-02-23,40.0,WIN,1.0,13.32,PRA
Reed Sheppard,HOU,UTA,PTS,12.5,14.13,0.608,Over,0.326,50.0,B Tier,2026-02-23,2026-02-23,15.0,WIN,1.0,0.8699999999999992,PTS
Amen Thompson,HOU,UTA,REB,7.5,6.98,0.601,Under,0.273,50.0,B Tier,2026-02-23,2026-02-23,7.0,WIN,1.0,0.019999999999999574,REB
Amen Thompson,HOU,UTA,PRA,29.5,26.29,0.598,Under,0.329,50.0,B Tier,2026-02-23,2026-02-23,30.0,LOSS,0.0,3.710000000000001,PRA
Ausar Thompson,DET,SAS,RA,8.5,9.3,0.589,Over,0.266,50.0,B Tier,2026-02-23,2026-02-23,6.0,LOSS,0.0,-3.3000000000000007,RA
Lauri Markkanen,UTAH,HOU,PRA,25.5,28.42,0.582,Over,0.245,50.0,B Tier,2026-02-23,2026-02-23,34.0,WIN,1.0,5.579999999999998,PRA
Kyle Filipowski,UTAH,HOU,PTS,12.5,14.83,0.636,Over,0.341,50.0,C Tier,2026-02-23,2026-02-23,13.0,WIN,1.0,-1.83,PTS
Dylan Harper,SA,DET,PTS,10.5,13.01,0.624,Over,0.361,50.0,C Tier,2026-02-23,2026-02-23,5.0,LOSS,0.0,-8.01,PTS
Ace Bailey,UTAH,HOU,PRA,19.5,22.19,0.617,Over,0.235,50.0,C Tier,2026-02-23,2026-02-23,12.0,LOSS,0.0,-10.190000000000001,PRA
Clint Capela,HOU,UTA,REB,4.5,4.14,0.607,Under,0.395,50.0,C Tier,2026-02-23,2026-02-23,3.0,WIN,1.0,-1.1399999999999997,REB
Keyonte George,UTAH,HOU,AST,4.5,4.15,0.604,Under,0.312,50.0,C Tier,2026-02-23,2026-02-23,,Pending / Not Found,,,AST
Duncan Robinson,DET,SAS,PRA,14.5,17.39,0.603,Over,0.392,50.0,C Tier,2026-02-23,2026-02-23,21.0,WIN,1.0,3.6099999999999994,PRA
Jaylen Wells,MEM,SAC,PRA,19.5,20.79,0.569,Over,0.236,50.0,C Tier,2026-02-23,2026-02-23,17.0,LOSS,0.0,-3.789999999999999,PRA
Duncan Robinson,DET,SAS,REB,2.5,2.96,0.568,Over,0.393,50.0,C Tier,2026-02-23,2026-02-23,3.0,WIN,1.0,0.040000000000000036,REB
Victor Wembanyama,SA,DET,REB,10.5,10.23,0.568,Under,0.343,50.0,C Tier,2026-02-23,2026-02-23,17.0,LOSS,0.0,6.77,REB
Dylan Harper,SA,DET,PRA,18.5,20.15,0.567,Over,0.265,50.0,C Tier,2026-02-23,2026-02-23,10.0,LOSS,0.0,-10.149999999999999,PRA
Jaylen Wells,MEM,SAC,PTS,14.5,15.48,0.566,Over,0.301,50.0,C Tier,2026-02-23,2026-02-23,12.0,LOSS,0.0,-3.4800000000000004,PTS
Reed Sheppard,HOU,UTA,PRA,17.5,19.33,0.564,Over,0.348,50.0,C Tier,2026-02-23,2026-02-23,22.0,WIN,1.0,2.6700000000000017,PRA
Keyonte George,UTAH,HOU,PRA,21.5,23.28,0.556,Over,0.209,50.0,C Tier,2026-02-23,2026-02-23,,Pending / Not Found,,,PRA
Jabari Smith Jr.,HOU,UTA,PTS,15.5,16.34,0.556,Over,0.255,50.0,C Tier,2026-02-23,2026-02-23,31.0,WIN,1.0,14.66,PTS
Ace Bailey,UTAH,HOU,PTS,13.5,14.46,0.548,Over,0.334,50.0,C Tier,2026-02-23,2026-02-23,4.0,LOSS,0.0,-10.46,PTS
Ausar Thompson,DET,SAS,PRA,17.5,16.47,0.547,Under,0.283,50.0,C Tier,2026-02-23,2026-02-23,14.0,WIN,1.0,-2.469999999999999,PRA
Ty Jerome,MEM,SAC,PRA,25.5,26.74,0.545,Over,0.228,50.0,C Tier,2026-02-23,2026-02-23,,Pending / Not Found,,,PRA
GG Jackson,MEM,SAC,RA,7.5,7.89,0.545,Over,0.291,50.0,C Tier,2026-02-23,2026-02-23,7.0,LOSS,0.0,-0.8899999999999997,RA
Keyonte George,UTAH,HOU,PTS,14.5,15.62,0.538,Over,0.303,50.0,Pass,2026-02-23,2026-02-23,,Pending / Not Found,,,PTS
Caris LeVert,DET,SAS,PRA,11.5,12.01,0.538,Over,0.262,50.0,Pass,2026-02-23,2026-02-23,7.0,LOSS,0.0,-5.01,PRA
Ausar Thompson,DET,SAS,REB,5.5,5.57,0.537,Under,0.397,50.0,Pass,2026-02-23,2026-02-23,4.0,WIN,1.0,-1.5700000000000003,REB
Devin Vassell,SA,DET,PTS,10.5,11.08,0.537,Over,0.347,50.0,Pass,2026-02-23,2026-02-23,28.0,WIN,1.0,16.92,PTS
Caris LeVert,DET,SAS,REB,1.5,1.79,0.533,Over,0.369,50.0,Pass,2026-02-23,2026-02-23,1.0,LOSS,0.0,-0.79,REB
GG Jackson,MEM,SAC,PRA,23.5,22.76,0.531,Under,0.256,50.0,Pass,2026-02-23,2026-02-23,23.0,WIN,1.0,0.23999999999999844,PRA
Ty Jerome,MEM,SAC,RA,7.5,7.84,0.531,Over,0.392,50.0,Pass,2026-02-23,2026-02-23,,Pending / Not Found,,,RA
Victor Wembanyama,SA,DET,PRA,36.5,37.92,0.53,Over,0.326,50.0,Pass,2026-02-23,2026-02-23,42.0,WIN,1.0,4.079999999999998,PRA
Ty Jerome,MEM,SAC,AST,4.5,5.13,0.53,Over,0.399,50.0,Pass,2026-02-23,2026-02-23,,Pending / Not Found,,,AST
Brice Sensabaugh,UTAH,HOU,PRA,18.5,17.48,0.53,Under,0.357,50.0,Pass,2026-02-23,2026-02-23,30.0,LOSS,0.0,12.52,PRA
Tobias Harris,DET,SAS,PTS,13.5,13.87,0.528,Over,0.28,50.0,Pass,2026-02-23,2026-02-23,4.0,LOSS,0.0,-9.87,PTS
Cam Spencer,MEM,SAC,PRA,17.5,16.73,0.527,Under,0.31,50.0,Pass,2026-02-23,2026-02-23,13.0,WIN,1.0,-3.7300000000000004,PRA
Victor Wembanyama,SA,DET,PTS,23.5,24.12,0.52,Over,0.387,50.0,Pass,2026-02-23,2026-02-23,21.0,LOSS,0.0,-3.120000000000001,PTS
Caris LeVert,DET,SAS,PTS,7.5,7.7,0.518,Over,0.383,50.0,Pass,2026-02-23,2026-02-23,5.0,LOSS,0.0,-2.7,PTS
Victor Wembanyama,SA,DET,RA,13.5,13.76,0.516,Over,0.378,50.0,Pass,2026-02-23,2026-02-23,21.0,WIN,1.0,7.24,RA
Ty Jerome,MEM,SAC,PTS,17.5,17.77,0.515,Over,0.238,50.0,Pass,2026-02-23,2026-02-23,,Pending / Not Found,,,PTS
De'Aaron Fox,SA,DET,REB,3.5,2.19,0.789,Under,0.738,50.0,Pass / Too Volatile,2026-02-23,2026-02-23,7.0,LOSS,0.0,4.8100000000000005,REB
