Legs,Joint Prob,Payout,Picks,Result
2,0.862106,3.0x,Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
2,0.841624,3.0x,Payton Pritchard Under 17.5 PTS | Tobias Harris Under 12.5 PTS,LOSS
2,0.814625,3.0x,Jamal Murray Under 33.5 PRA | Payton Pritchard Under 17.5 PTS,LOSS
2,0.81025,3.0x,Jamal Murray Under 33.5 PRA | Tobias Harris Under 15.5 PA,LOSS
2,0.807177,3.0x,Isaiah Joe Under 8.5 PTS | Payton Pritchard Under 17.5 PTS,LOSS
2,0.805315,3.0x,OG Anunoby Under 15.5 PTS | Payton Pritchard Under 17.5 PTS,LOSS
2,0.8028420000000001,3.0x,Isaiah Joe Under 8.5 PTS | Tobias Harris Under 15.5 PA,LOSS
2,0.80099,3.0x,OG Anunoby Under 15.5 PTS | Tobias Harris Under 15.5 PA,LOSS
2,0.799729,3.0x,Ausar Thompson Over 6.5 RA | Payton Pritchard Under 17.5 PTS,LOSS
2,0.797867,3.0x,GG Jackson Over 17.5 PA | Payton Pritchard Under 17.5 PTS,LOSS
3,0.7543427500000001,6.0x,Jamal Murray Under 33.5 PRA | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
3,0.747445902,6.0x,Isaiah Joe Under 8.5 PTS | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
3,0.74572169,6.0x,OG Anunoby Under 15.5 PTS | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
3,0.7441483000000001,6.0x,Ausar Thompson Over 6.5 RA | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
3,0.738824842,6.0x,GG Jackson Over 17.5 PA | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
3,0.7364210000000001,6.0x,Jamal Murray Under 33.5 PRA | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 12.5 PTS,LOSS
3,0.7302037820000001,6.0x,Mitchell Robinson Over 13.5 PR | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
3,0.729688008,6.0x,Isaiah Joe Under 8.5 PTS | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 12.5 PTS,LOSS
3,0.72800476,6.0x,OG Anunoby Under 15.5 PTS | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 12.5 PTS,LOSS
3,0.7267386,6.0x,Ausar Thompson Over 6.5 RA | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 12.5 PTS,LOSS
4,0.6596835112000001,10.0x,Isaiah Joe Under 8.5 PTS | Jamal Murray Under 33.5 PRA | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
4,0.65250647875,10.0x,Jamal Murray Under 33.5 PRA | OG Anunoby Under 15.5 PTS | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
4,0.6511297625000001,10.0x,Ausar Thompson Over 6.5 RA | Jamal Murray Under 33.5 PRA | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
4,0.6465407052300001,10.0x,Isaiah Joe Under 8.5 PTS | OG Anunoby Under 15.5 PTS | Payton Pritchard Under 17.5 PTS | Tobias Harris Under 15.5 PA,LOSS
