Legs,Joint Prob,Ticket EV%,Payout,Picks,Result
2,0.7044,1.1132,3.0x,Daniss Jenkins Under 2.5 AST | Jalen Duren Under 1.5 AST,WIN
2,0.6911,1.0733,3.0x,Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST,LOSS
2,0.6792,1.0376000000000003,3.0x,Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB,WIN
3,0.6726,3.0355999999999996,6.0x,Cade Cunningham Under 9.5 AST | Daniss Jenkins Under 2.5 AST | Jalen Duren Under 1.5 AST,LOSS
2,0.6718,1.0153999999999996,3.0x,Cade Cunningham Under 9.5 AST | Jalen Duren Under 1.5 AST,LOSS
2,0.671,1.013,3.0x,Cade Cunningham Under 9.5 AST | Daniss Jenkins Under 2.5 AST,LOSS
2,0.6655,0.9965,3.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA,LOSS
2,0.6646,0.9937999999999998,3.0x,Cade Cunningham Under 5.5 REB | Jalen Duren Under 1.5 AST,LOSS
3,0.6631,2.9786,6.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB,LOSS
2,0.6609,0.9827,3.0x,Amen Thompson Under 29.5 PRA | Kevin Durant Under 4.5 AST,LOSS
3,0.6607,2.9642,6.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST,LOSS
2,0.66,0.98,3.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB,LOSS
2,0.6598,0.9794,3.0x,Ace Bailey Over 1.5 AST | Kyle Filipowski Over 12.5 PTS,LOSS
3,0.6597,2.9581999999999997,6.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Kevin Durant Under 5.5 REB,LOSS
3,0.6593,2.9558,6.0x,Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA,LOSS
3,0.6577,2.9461999999999997,6.0x,Cade Cunningham Under 5.5 REB | Daniss Jenkins Under 2.5 AST | Jalen Duren Under 1.5 AST,LOSS
4,0.6569,5.569000000000001,10.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB,LOSS
4,0.6565,5.5649999999999995,10.0x,Amen Thompson Under 29.5 PRA | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA,LOSS
4,0.6561,5.561,10.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST,LOSS
3,0.6561,2.9366000000000003,6.0x,Alperen Sengun Under 8.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB,LOSS
3,0.6557,2.9341999999999997,6.0x,Alperen Sengun Under 8.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST,LOSS
3,0.6541,2.9246,6.0x,Alperen Sengun Under 8.5 REB | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA,LOSS
