Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
Paolo Banchero,ORL,CLE,RA,14.5,10.27,0.814,Under,0.241,40.0,S Tier,2026-03-24,2026-03-24,11.0,WIN,1.0,0.7300000000000004,RA
Jalen Brunson,NY,NOP,PRA,35.5,27.87,0.76,Under,0.163,40.0,S Tier,2026-03-24,2026-03-24,40.0,LOSS,0.0,12.129999999999999,PRA
Jalen Brunson,NY,NOP,PA,32.5,27.36,0.71,Under,0.17,50.0,S Tier,2026-03-24,2026-03-24,39.0,LOSS,0.0,11.64,PA
Kon Knueppel,CHA,SAC,PRA,26.0,17.84,0.82,Under,0.215,70.0,S Tier,2026-03-24,2026-03-24,21.0,WIN,1.0,3.16,PRA
Kon Knueppel,CHA,SAC,PA,21.5,14.66,0.833,Under,0.234,60.0,S Tier,2026-03-24,2026-03-24,17.0,WIN,1.0,2.34,PA
James Harden,CLE,ORL,REB,4.5,6.08,0.719,Over,0.254,40.0,A Tier,2026-03-24,2026-03-24,3.0,LOSS,0.0,-3.08,REB
Zion Williamson,NO,NYK,PR,26.0,30.63,0.643,Over,0.187,40.0,A Tier,2026-03-24,2026-03-24,26.0,PUSH,0.0,-4.629999999999999,PR
LaMelo Ball,CHA,SAC,PR,25.5,32.11,0.747,Over,0.243,40.0,A Tier,2026-03-24,2026-03-24,26.0,WIN,1.0,-6.109999999999999,PR
Precious Achiuwa,SAC,CHA,REB,7.5,13.62,0.958,Over,0.288,100.0,A Tier,2026-03-24,2026-03-24,,Pending / Not Found,,,REB
Karl-Anthony Towns,NY,NOP,PA,24.5,28.52,0.65,Over,0.268,60.0,A Tier,2026-03-24,2026-03-24,22.0,LOSS,0.0,-6.52,PA
Precious Achiuwa,SAC,CHA,RA,9.5,14.45,0.905,Over,0.296,80.0,A Tier,2026-03-24,2026-03-24,,Pending / Not Found,,,RA
Christian Braun,DEN,PHX,RA,6.5,7.91,0.67,Over,0.29,70.0,A Tier,2026-03-24,2026-03-24,4.0,LOSS,0.0,-3.91,RA
Jalen Brunson,NY,NOP,PTS,25.5,22.73,0.659,Under,0.299,50.0,A Tier,2026-03-24,2026-03-24,32.0,LOSS,0.0,9.27,PTS
Karl-Anthony Towns,NY,NOP,PRA,37.5,44.17,0.663,Over,0.18,50.0,A Tier,2026-03-24,2026-03-24,36.0,LOSS,0.0,-8.170000000000002,PRA
Jalen Brunson,NY,NOP,PR,28.5,23.34,0.73,Under,0.269,50.0,A Tier,2026-03-24,2026-03-24,33.0,LOSS,0.0,9.66,PR
Josh Hart,NY,NOP,RA,12.5,10.26,0.721,Under,0.295,60.0,A Tier,2026-03-24,2026-03-24,11.0,WIN,1.0,0.7400000000000002,RA
Mikal Bridges,NY,NOP,PR,17.0,14.18,0.686,Under,0.286,100.0,A Tier,2026-03-24,2026-03-24,16.0,WIN,1.0,1.8200000000000003,PR
Nikola Jokic,DEN,PHX,PR,41.5,36.63,0.671,Under,0.285,60.0,A Tier,2026-03-24,2026-03-24,40.0,WIN,1.0,3.3699999999999974,PR
Jalen Green,PHX,DEN,RA,6.5,9.84,0.853,Over,0.264,60.0,A Tier,2026-03-24,2026-03-24,12.0,WIN,1.0,2.16,RA
Paolo Banchero,ORL,CLE,PR,33.5,42.19,0.747,Over,0.237,60.0,A Tier,2026-03-24,2026-03-24,42.0,WIN,1.0,-0.18999999999999773,PR
Herbert Jones,NO,NYK,PRA,14.5,17.9,0.725,Over,0.269,70.0,A Tier,2026-03-24,2026-03-24,21.0,WIN,1.0,3.1000000000000014,PRA
Evan Mobley,CLE,ORL,RA,12.5,11.26,0.643,Under,0.29,50.0,A Tier,2026-03-24,2026-03-24,15.0,LOSS,0.0,3.74,RA
Karl-Anthony Towns,NY,NOP,PR,34.0,41.16,0.682,Over,0.181,40.0,A Tier,2026-03-24,2026-03-24,35.0,WIN,1.0,-6.159999999999997,PR
Dejounte Murray,NO,NYK,PRA,27.5,24.59,0.657,Under,0.255,60.0,A Tier,2026-03-24,2026-03-24,24.0,WIN,1.0,-0.5899999999999999,PRA
Zion Williamson,NO,NYK,PTS,20.5,24.67,0.687,Over,0.202,40.0,A Tier,2026-03-24,2026-03-24,22.0,WIN,1.0,-2.6700000000000017,PTS
Paolo Banchero,ORL,CLE,PRA,39.5,48.07,0.704,Over,0.197,60.0,A Tier,2026-03-24,2026-03-24,47.0,WIN,1.0,-1.0700000000000003,PRA
Nikola Jokic,DEN,PHX,AST,11.5,13.79,0.687,Over,0.258,70.0,A Tier,2026-03-24,2026-03-24,17.0,WIN,1.0,3.210000000000001,AST
Karl-Anthony Towns,NY,NOP,REB,12.5,15.01,0.687,Over,0.229,50.0,A Tier,2026-03-24,2026-03-24,14.0,WIN,1.0,-1.0099999999999998,REB
Kon Knueppel,CHA,SAC,PTS,18.5,9.76,0.906,Under,0.298,50.0,A Tier,2026-03-24,2026-03-24,14.0,WIN,1.0,4.24,PTS
Kon Knueppel,CHA,SAC,PR,22.5,12.99,0.887,Under,0.262,70.0,A Tier,2026-03-24,2026-03-24,18.0,WIN,1.0,5.01,PR
Donovan Mitchell,CLE,ORL,RA,8.5,10.04,0.666,Over,0.159,70.0,A Tier,2026-03-24,2026-03-24,5.0,LOSS,0.0,-5.039999999999999,RA
LaMelo Ball,CHA,SAC,PRA,31.5,36.01,0.625,Over,0.255,40.0,B Tier,2026-03-24,2026-03-24,34.0,WIN,1.0,-2.009999999999998,PRA
Max Strus,CLE,ORL,REB,3.5,7.78,0.923,Over,0.349,90.0,B Tier,2026-03-24,2026-03-24,3.0,LOSS,0.0,-4.78,REB
Max Strus,CLE,ORL,RA,6.5,9.95,0.79,Over,0.338,70.0,B Tier,2026-03-24,2026-03-24,6.0,LOSS,0.0,-3.9499999999999993,RA
LaMelo Ball,CHA,SAC,REB,4.5,3.21,0.76,Under,0.34,40.0,B Tier,2026-03-24,2026-03-24,6.0,LOSS,0.0,2.79,REB
Nikola Jokic,DEN,PHX,PRA,52.5,49.16,0.615,Under,0.205,40.0,B Tier,2026-03-24,2026-03-24,57.0,LOSS,0.0,7.840000000000003,PRA
Maxime Raynaud,SAC,CHA,PRA,28.5,33.19,0.649,Over,0.347,80.0,B Tier,2026-03-24,2026-03-24,23.0,LOSS,0.0,-10.189999999999998,PRA
Paolo Banchero,ORL,CLE,AST,4.5,5.98,0.706,Over,0.324,70.0,B Tier,2026-03-24,2026-03-24,5.0,WIN,1.0,-0.9800000000000004,AST
Dejounte Murray,NO,NYK,PR,21.5,15.89,0.804,Under,0.338,70.0,B Tier,2026-03-24,2026-03-24,12.0,WIN,1.0,-3.8900000000000006,PR
Devin Booker,PHX,DEN,PRA,36.5,34.08,0.617,Under,0.239,40.0,B Tier,2026-03-24,2026-03-24,33.0,WIN,1.0,-1.0799999999999983,PRA
Jamal Murray,DEN,PHX,PRA,35.5,31.05,0.678,Under,0.334,40.0,B Tier,2026-03-24,2026-03-24,28.0,WIN,1.0,-3.0500000000000007,PRA
Miles Bridges,CHA,SAC,PRA,22.5,18.82,0.713,Under,0.304,90.0,B Tier,2026-03-24,2026-03-24,21.0,WIN,1.0,2.1799999999999997,PRA
Josh Hart,NY,NOP,PR,19.5,21.9,0.605,Over,0.319,50.0,B Tier,2026-03-24,2026-03-24,18.0,LOSS,0.0,-3.8999999999999986,PR
Sam Merrill,CLE,ORL,PA,14.5,16.71,0.641,Over,0.319,70.0,B Tier,2026-03-24,2026-03-24,20.0,WIN,1.0,3.289999999999999,PA
Herbert Jones,NO,NYK,PR,11.5,14.88,0.781,Over,0.3,60.0,B Tier,2026-03-24,2026-03-24,15.0,WIN,1.0,0.11999999999999922,PR
Saddiq Bey,NO,NYK,PA,20.5,22.84,0.594,Over,0.331,60.0,B Tier,2026-03-24,2026-03-24,20.0,LOSS,0.0,-2.84,PA
Christian Braun,DEN,PHX,PRA,19.5,23.07,0.671,Over,0.322,50.0,B Tier,2026-03-24,2026-03-24,17.0,LOSS,0.0,-6.07,PRA
Nikola Jokic,DEN,PHX,REB,12.5,13.79,0.583,Over,0.323,50.0,B Tier,2026-03-24,2026-03-24,17.0,WIN,1.0,3.210000000000001,REB
Desmond Bane,ORL,CLE,PTS,19.5,17.12,0.671,Under,0.323,50.0,B Tier,2026-03-24,2026-03-24,17.0,WIN,1.0,-0.120000000000001,PTS
Nikola Jokic,DEN,PHX,PTS,28.5,22.72,0.748,Under,0.345,60.0,B Tier,2026-03-24,2026-03-24,23.0,WIN,1.0,0.28000000000000114,PTS
Desmond Bane,ORL,CLE,PA,25.5,24.1,0.602,Under,0.279,40.0,B Tier,2026-03-24,2026-03-24,20.0,WIN,1.0,-4.100000000000001,PA
James Harden,CLE,ORL,PTS,21.5,20.42,0.595,Under,0.306,70.0,B Tier,2026-03-24,2026-03-24,26.0,LOSS,0.0,5.579999999999998,PTS
Cameron Johnson,DEN,PHX,RA,5.5,5.1,0.599,Under,0.293,50.0,B Tier,2026-03-24,2026-03-24,5.0,WIN,1.0,-0.09999999999999964,RA
Aaron Gordon,DEN,PHX,RA,8.0,7.06,0.591,Under,0.282,60.0,B Tier,2026-03-24,2026-03-24,9.0,LOSS,0.0,1.9400000000000004,RA
Evan Mobley,CLE,ORL,REB,9.5,8.33,0.663,Under,0.336,50.0,B Tier,2026-03-24,2026-03-24,9.0,WIN,1.0,0.6699999999999999,REB
Miles Bridges,CHA,SAC,PR,19.5,17.72,0.639,Under,0.304,80.0,B Tier,2026-03-24,2026-03-24,17.0,WIN,1.0,-0.7199999999999989,PR
Mikal Bridges,NY,NOP,PRA,20.5,19.53,0.592,Under,0.211,100.0,B Tier,2026-03-24,2026-03-24,23.0,LOSS,0.0,3.469999999999999,PRA
Evan Mobley,CLE,ORL,PTS,19.5,18.25,0.61,Under,0.237,60.0,B Tier,2026-03-24,2026-03-24,19.0,WIN,1.0,0.75,PTS
Devin Booker,PHX,DEN,RA,10.0,9.01,0.587,Under,0.349,60.0,B Tier,2026-03-24,2026-03-24,11.0,LOSS,0.0,1.9900000000000002,RA
Maxime Raynaud,SAC,CHA,RA,10.5,11.83,0.612,Over,0.311,60.0,B Tier,2026-03-24,2026-03-24,7.0,LOSS,0.0,-4.83,RA
Desmond Bane,ORL,CLE,PR,24.5,22.93,0.612,Under,0.296,60.0,B Tier,2026-03-24,2026-03-24,24.0,WIN,1.0,1.0700000000000003,PR
Dejounte Murray,NO,NYK,PA,22.5,21.45,0.592,Under,0.275,60.0,B Tier,2026-03-24,2026-03-24,19.0,WIN,1.0,-2.4499999999999993,PA
Sam Merrill,CLE,ORL,PRA,17.5,26.21,0.913,Over,0.312,80.0,B Tier,2026-03-24,2026-03-24,24.0,WIN,1.0,-2.210000000000001,PRA
Nikola Jokic,DEN,PHX,PA,39.5,36.11,0.638,Under,0.199,60.0,B Tier,2026-03-24,2026-03-24,40.0,LOSS,0.0,3.8900000000000006,PA
Donovan Mitchell,CLE,ORL,PA,32.5,30.08,0.625,Under,0.181,60.0,B Tier,2026-03-24,2026-03-24,45.0,LOSS,0.0,14.920000000000002,PA
Karl-Anthony Towns,NY,NOP,RA,15.5,17.79,0.631,Over,0.138,70.0,B Tier,2026-03-24,2026-03-24,15.0,LOSS,0.0,-2.789999999999999,RA
Precious Achiuwa,SAC,CHA,PRA,24.0,27.81,0.62,Over,0.373,90.0,C Tier,2026-03-24,2026-03-24,,Pending / Not Found,,,PRA
Devin Booker,PHX,DEN,PA,32.0,30.93,0.563,Under,0.235,40.0,C Tier,2026-03-24,2026-03-24,30.0,WIN,1.0,-0.9299999999999997,PA
Saddiq Bey,NO,NYK,RA,6.5,9.03,0.789,Over,0.4,50.0,C Tier,2026-03-24,2026-03-24,6.0,LOSS,0.0,-3.0299999999999994,RA
LaMelo Ball,CHA,SAC,RA,11.5,7.48,0.849,Under,0.371,70.0,C Tier,2026-03-24,2026-03-24,14.0,LOSS,0.0,6.52,RA
Aaron Gordon,DEN,PHX,PRA,24.0,19.43,0.72,Under,0.443,50.0,C Tier,2026-03-24,2026-03-24,25.0,LOSS,0.0,5.57,PRA
Moussa Diabate,CHA,SAC,PRA,20.5,27.03,0.8,Over,0.397,50.0,C Tier,2026-03-24,2026-03-24,30.0,WIN,1.0,2.969999999999999,PRA
Jamal Murray,DEN,PHX,PR,28.5,24.33,0.698,Under,0.373,50.0,C Tier,2026-03-24,2026-03-24,22.0,WIN,1.0,-2.3299999999999983,PR
Kon Knueppel,CHA,SAC,RA,6.5,7.91,0.67,Over,0.36,40.0,C Tier,2026-03-24,2026-03-24,7.0,WIN,1.0,-0.9100000000000001,RA
Maxime Raynaud,SAC,CHA,PR,26.5,31.53,0.677,Over,0.355,80.0,C Tier,2026-03-24,2026-03-24,23.0,LOSS,0.0,-8.530000000000001,PR
Jamal Murray,DEN,PHX,PA,30.5,28.87,0.602,Under,0.394,50.0,C Tier,2026-03-24,2026-03-24,27.0,WIN,1.0,-1.870000000000001,PA
