Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
De'Aaron Fox,SA,NYK,PRA,25.5,21.13,0.721,Under,0.228,80.0,S Tier,2026-06-03,2026-06-03,16,WIN,1,-5.129999999999999,PRA
Jalen Brunson,NY,SAS,PRA,35.5,23.24,0.85,Under,0.25,40.0,S Tier,2026-06-03,2026-06-03,35,WIN,1,11.760000000000002,PRA
Jalen Brunson,NY,SAS,PA,32.5,21.3,0.849,Under,0.25,40.0,S Tier,2026-06-03,2026-06-03,32,WIN,1,10.7,PA
De'Aaron Fox,SA,NYK,PR,19.5,15.7,0.741,Under,0.292,80.0,A Tier,2026-06-03,2026-06-03,11,WIN,1,-4.699999999999999,PR
OG Anunoby,NY,SAS,PRA,23.5,27.62,0.662,Over,0.23,70.0,A Tier,2026-06-03,2026-06-03,20,LOSS,0,-7.620000000000001,PRA
Josh Hart,NY,SAS,RA,12.5,16.49,0.794,Over,0.245,40.0,A Tier,2026-06-03,2026-06-03,21,WIN,1,4.510000000000002,RA
OG Anunoby,NY,SAS,PA,17.5,20.82,0.679,Over,0.243,60.0,A Tier,2026-06-03,2026-06-03,17,LOSS,0,-3.8200000000000003,PA
Josh Hart,NY,SAS,PR,20.0,17.3,0.661,Under,0.277,70.0,A Tier,2026-06-03,2026-06-03,18,WIN,1,0.6999999999999993,PR
Mikal Bridges,NY,SAS,RA,6.5,7.82,0.658,Over,0.344,40.0,B Tier,2026-06-03,2026-06-03,6,LOSS,0,-1.8200000000000003,RA
Karl-Anthony Towns,NY,SAS,REB,11.5,13.17,0.631,Over,0.331,50.0,B Tier,2026-06-03,2026-06-03,12,WIN,1,-1.17,REB
Josh Hart,NY,SAS,REB,8.0,10.8,0.743,Over,0.323,40.0,B Tier,2026-06-03,2026-06-03,15,WIN,1,4.199999999999999,REB
Devin Vassell,SA,NYK,PTS,13.5,11.23,0.712,Under,0.341,80.0,B Tier,2026-06-03,2026-06-03,9,WIN,1,-2.2300000000000004,PTS
Devin Vassell,SA,NYK,RA,7.5,8.85,0.653,Over,0.345,60.0,B Tier,2026-06-03,2026-06-03,12,WIN,1,3.1500000000000004,RA
De'Aaron Fox,SA,NYK,PA,21.5,20.32,0.601,Under,0.252,80.0,B Tier,2026-06-03,2026-06-03,12,WIN,1,-8.32,PA
Mikal Bridges,NY,SAS,PA,17.5,19.55,0.599,Over,0.251,70.0,B Tier,2026-06-03,2026-06-03,12,LOSS,0,-7.550000000000001,PA
OG Anunoby,NY,SAS,PR,21.5,23.72,0.581,Over,0.258,70.0,B Tier,2026-06-03,2026-06-03,20,LOSS,0,-3.719999999999999,PR
OG Anunoby,NY,SAS,PTS,15.5,17.24,0.592,Over,0.277,60.0,B Tier,2026-06-03,2026-06-03,17,WIN,1,-0.23999999999999844,PTS
OG Anunoby,NY,SAS,RA,9.5,10.44,0.583,Over,0.277,60.0,B Tier,2026-06-03,2026-06-03,3,LOSS,0,-7.4399999999999995,RA
Josh Hart,NY,SAS,PRA,24.5,23.6,0.581,Under,0.227,80.0,B Tier,2026-06-03,2026-06-03,24,WIN,1,0.3999999999999986,PRA
Jalen Brunson,NY,SAS,PR,28.5,17.98,0.862,Under,0.311,50.0,B Tier,2026-06-03,2026-06-03,33,LOSS,0,15.02,PR
Devin Vassell,SA,NYK,PA,15.5,14.2,0.629,Under,0.243,80.0,B Tier,2026-06-03,2026-06-03,12,WIN,1,-2.1999999999999993,PA
Jalen Brunson,NY,SAS,PTS,25.5,15.21,0.878,Under,0.323,40.0,B Tier,2026-06-03,2026-06-03,30,LOSS,0,14.79,PTS
Josh Hart,NY,SAS,PA,16.5,12.38,0.785,Under,0.374,90.0,C Tier,2026-06-03,2026-06-03,9,WIN,1,-3.380000000000001,PA
Mitchell Robinson,NY,SAS,PTS,3.5,7.83,0.949,Over,0.397,60.0,C Tier,2026-06-03,2026-06-03,2,LOSS,0,-5.83,PTS
Victor Wembanyama,SA,NYK,PRA,42.5,31.72,0.791,Under,0.426,50.0,C Tier,2026-06-03,2026-06-03,40,WIN,1,8.280000000000001,PRA
Victor Wembanyama,SA,NYK,PR,39.5,29.88,0.783,Under,0.437,50.0,C Tier,2026-06-03,2026-06-03,38,WIN,1,8.120000000000001,PR
Stephon Castle,SA,NYK,REB,5.0,5.99,0.549,Over,0.378,80.0,C Tier,2026-06-03,2026-06-03,8,WIN,1,2.01,REB
Devin Vassell,SA,NYK,AST,1.5,3.02,0.796,Over,0.372,50.0,C Tier,2026-06-03,2026-06-03,3,WIN,1,-0.020000000000000018,AST
OG Anunoby,NY,SAS,REB,5.5,6.84,0.673,Over,0.366,60.0,C Tier,2026-06-03,2026-06-03,3,LOSS,0,-3.84,REB
Victor Wembanyama,SA,NYK,PA,30.5,24.82,0.735,Under,0.391,50.0,C Tier,2026-06-03,2026-06-03,28,WIN,1,3.1799999999999997,PA
Victor Wembanyama,SA,NYK,PTS,27.5,22.38,0.733,Under,0.404,50.0,C Tier,2026-06-03,2026-06-03,26,WIN,1,3.620000000000001,PTS
Mikal Bridges,NY,SAS,PR,18.5,18.06,0.564,Under,0.296,40.0,C Tier,2026-06-03,2026-06-03,12,WIN,1,-6.059999999999999,PR
De'Aaron Fox,SA,NYK,RA,11.5,5.63,0.918,Under,0.429,50.0,C Tier,2026-06-03,2026-06-03,9,WIN,1,3.37,RA
De'Aaron Fox,SA,NYK,PTS,15.5,15.05,0.569,Under,0.364,80.0,C Tier,2026-06-03,2026-06-03,7,WIN,1,-8.05,PTS
Julian Champagnie,SA,NYK,REB,5.5,5.99,0.55,Over,0.287,80.0,C Tier,2026-06-03,2026-06-03,10,WIN,1,4.01,REB
Devin Vassell,SA,NYK,PR,17.5,17.12,0.562,Under,0.303,60.0,C Tier,2026-06-03,2026-06-03,18,LOSS,0,0.879999999999999,PR
Mikal Bridges,NY,SAS,PRA,21.5,23.04,0.545,Over,0.255,80.0,C Tier,2026-06-03,2026-06-03,15,LOSS,0,-8.04,PRA
Karl-Anthony Towns,NY,SAS,RA,15.5,16.8,0.56,Over,0.174,60.0,C Tier,2026-06-03,2026-06-03,16,WIN,1,-0.8000000000000007,RA
Julian Champagnie,SA,NYK,PRA,17.5,26.15,0.912,Over,0.371,60.0,C Tier,2026-06-03,2026-06-03,27,WIN,1,0.8500000000000014,PRA
Devin Vassell,SA,NYK,PRA,20.0,20.14,0.501,Under,0.237,70.0,Pass,2026-06-03,2026-06-03,21,LOSS,0,0.8599999999999994,PRA
Mikal Bridges,NY,SAS,PTS,14.5,15.03,0.506,Over,0.297,70.0,Pass,2026-06-03,2026-06-03,9,LOSS,0,-6.029999999999999,PTS
Karl-Anthony Towns,NY,SAS,PR,29.0,32.52,0.581,Over,0.187,0.0,Pass / Too Volatile,2026-06-03,2026-06-03,30,WIN,1,-2.520000000000003,PR
Keldon Johnson,SA,NYK,AST,2.5,1.0,0.87,Under,1.176,80.0,Pass / Too Volatile,2026-06-03,2026-06-03,0,WIN,1,-1.0,AST
Jose Alvarado,NY,SAS,PTS,2.5,4.03,0.759,Over,0.76,10.0,Pass / Too Volatile,2026-06-03,2026-06-03,7,WIN,1,2.9699999999999998,PTS
Keldon Johnson,SA,NYK,RA,2.5,4.01,0.756,Over,0.586,0.0,Pass / Too Volatile,2026-06-03,2026-06-03,0,LOSS,0,-4.01,RA
Luke Kornet,SA,NYK,REB,2.5,3.89,0.738,Over,0.73,30.0,Pass / Too Volatile,2026-06-03,2026-06-03,1,LOSS,0,-2.89,REB
Dylan Harper,SA,NYK,REB,4.0,6.86,0.807,Over,0.475,80.0,Pass / Too Volatile,2026-06-03,2026-06-03,8,WIN,1,1.1399999999999997,REB
Luke Kornet,SA,NYK,PR,9.5,6.1,0.854,Under,0.738,70.0,Pass / Too Volatile,2026-06-03,2026-06-03,1,WIN,1,-5.1,PR
De'Aaron Fox,SA,NYK,REB,2.5,0.97,0.874,Under,0.727,70.0,Pass / Too Volatile,2026-06-03,2026-06-03,4,LOSS,0,3.0300000000000002,REB
Miles McBride,NY,SAS,RA,1.5,3.98,0.901,Over,0.679,10.0,Pass / Too Volatile,2026-06-03,2026-06-03,5,WIN,1,1.02,RA
Victor Wembanyama,SA,NYK,REB,11.5,7.38,0.854,Under,0.672,70.0,Pass / Too Volatile,2026-06-03,2026-06-03,12,LOSS,0,4.62,REB
Jalen Brunson,NY,SAS,AST,6.5,4.98,0.748,Under,0.417,60.0,Pass / Too Volatile,2026-06-03,2026-06-03,2,WIN,1,-2.9800000000000004,AST
Luke Kornet,SA,NYK,RA,2.5,3.96,0.75,Over,0.704,10.0,Pass / Too Volatile,2026-06-03,2026-06-03,1,LOSS,0,-2.96,RA
OG Anunoby,NY,SAS,AST,1.5,3.93,0.898,Over,0.57,30.0,Pass / Too Volatile,2026-06-03,2026-06-03,0,LOSS,0,-3.93,AST
Julian Champagnie,SA,NYK,AST,0.5,1.1,0.658,Over,0.527,60.0,Pass / Too Volatile,2026-06-03,2026-06-03,1,WIN,1,-0.10000000000000009,AST
Victor Wembanyama,SA,NYK,RA,15.0,9.33,0.848,Under,0.59,70.0,Pass / Too Volatile,2026-06-03,2026-06-03,14,WIN,1,4.67,RA
Mikal Bridges,NY,SAS,AST,3.0,4.77,0.695,Over,0.639,30.0,Pass / Too Volatile,2026-06-03,2026-06-03,3,PUSH,0,-1.7699999999999996,AST
Devin Vassell,SA,NYK,REB,4.0,5.89,0.693,Over,0.491,50.0,Pass / Too Volatile,2026-06-03,2026-06-03,9,WIN,1,3.1100000000000003,REB
Karl-Anthony Towns,NY,SAS,AST,4.0,3.23,0.602,Under,0.469,20.0,Pass / Too Volatile,2026-06-03,2026-06-03,4,PUSH,0,0.77,AST
Jose Alvarado,NY,SAS,AST,0.5,1.95,0.851,Over,0.82,0.0,Pass / Too Volatile,2026-06-03,2026-06-03,1,WIN,1,-0.95,AST
De'Aaron Fox,SA,NYK,AST,6.0,4.98,0.62,Under,0.386,70.0,Pass / Too Volatile,2026-06-03,2026-06-03,5,WIN,1,0.019999999999999574,AST
Dylan Harper,SA,NYK,RA,6.5,9.9,0.857,Over,0.402,60.0,Pass / Too Volatile,2026-06-03,2026-06-03,9,WIN,1,-0.9000000000000004,RA
Keldon Johnson,SA,NYK,PTS,8.5,10.91,0.753,Over,0.645,30.0,Pass / Too Volatile,2026-06-03,2026-06-03,3,LOSS,0,-7.91,PTS
