Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
Victor Wembanyama,SA,LAC,RA,15.5,13.87,0.646,Under,0.299,50.0,A Tier,2026-03-16,2026-03-16,15.0,WIN,1.0,1.1300000000000008,RA
Grayson Allen,PHX,BOS,RA,5.5,7.32,0.685,Over,0.276,80.0,A Tier,2026-03-16,2026-03-16,3.0,LOSS,0.0,-4.32,RA
Sam Hauser,BOS,PHX,PRA,9.5,14.5,0.799,Over,0.293,60.0,A Tier,2026-03-16,2026-03-16,8.0,LOSS,0.0,-6.5,PRA
Grayson Allen,PHX,BOS,PRA,20.5,23.57,0.594,Over,0.247,80.0,B Tier,2026-03-16,2026-03-16,16.0,LOSS,0.0,-7.57,PRA
Sam Hauser,BOS,PHX,RA,4.5,5.54,0.602,Over,0.315,90.0,B Tier,2026-03-16,2026-03-16,6.0,WIN,1.0,0.45999999999999996,RA
Desmond Bane,ORL,ATL,RA,7.5,8.72,0.601,Over,0.298,50.0,B Tier,2026-03-16,2026-03-16,6.0,LOSS,0.0,-2.7200000000000006,RA
Paolo Banchero,ORL,ATL,PA,30.5,29.15,0.595,Under,0.239,50.0,B Tier,2026-03-16,2026-03-16,21.0,WIN,1.0,-8.149999999999999,PA
Kevin Durant,HOU,LAL,PRA,36.5,33.58,0.628,Under,0.243,50.0,B Tier,2026-03-16,2026-03-16,25.0,WIN,1.0,-8.579999999999998,PRA
Baylor Scheierman,BOS,PHX,PTS,6.5,7.92,0.605,Over,0.335,90.0,B Tier,2026-03-16,2026-03-16,8.0,WIN,1.0,0.08000000000000007,PTS
Stephon Castle,SA,LAC,PRA,30.5,27.48,0.644,Under,0.33,40.0,B Tier,2026-03-16,2026-03-16,38.0,LOSS,0.0,10.52,PRA
Kevin Durant,HOU,LAL,PTS,26.5,23.82,0.645,Under,0.34,50.0,B Tier,2026-03-16,2026-03-16,18.0,WIN,1.0,-5.82,PTS
Kevin Durant,HOU,LAL,PA,31.0,28.18,0.624,Under,0.263,50.0,B Tier,2026-03-16,2026-03-16,20.0,WIN,1.0,-8.18,PA
Kevin Durant,HOU,LAL,PR,31.5,28.96,0.628,Under,0.309,50.0,B Tier,2026-03-16,2026-03-16,23.0,WIN,1.0,-5.960000000000001,PR
Grayson Allen,PHX,BOS,PA,17.5,20.42,0.601,Over,0.287,80.0,B Tier,2026-03-16,2026-03-16,15.0,LOSS,0.0,-5.420000000000002,PA
Paolo Banchero,ORL,ATL,PTS,25.0,23.44,0.593,Under,0.29,40.0,B Tier,2026-03-16,2026-03-16,18.0,WIN,1.0,-5.440000000000001,PTS
De'Aaron Fox,SA,LAC,PA,25.5,24.63,0.584,Under,0.323,50.0,B Tier,2026-03-16,2026-03-16,24.0,WIN,1.0,-0.629999999999999,PA
Darius Garland,LAC,SAS,PR,22.5,21.01,0.613,Under,0.23,50.0,B Tier,2026-03-16,2026-03-16,27.0,LOSS,0.0,5.989999999999998,PR
Bennedict Mathurin,LAC,SAS,PRA,30.0,27.51,0.616,Under,0.321,40.0,B Tier,2026-03-16,2026-03-16,23.0,WIN,1.0,-4.510000000000002,PRA
Oso Ighodaro,PHX,BOS,PA,7.5,9.97,0.704,Over,0.31,90.0,B Tier,2026-03-16,2026-03-16,12.0,WIN,1.0,2.0299999999999994,PA
Collin Gillespie,PHX,BOS,PRA,18.5,21.5,0.597,Over,0.278,70.0,B Tier,2026-03-16,2026-03-16,7.0,LOSS,0.0,-14.5,PRA
Zion Williamson,NO,DAL,PA,26.0,24.19,0.601,Under,0.309,80.0,B Tier,2026-03-16,2026-03-16,28.0,LOSS,0.0,3.8099999999999987,PA
Alperen Sengun,HOU,LAL,PA,25.0,23.23,0.601,Under,0.287,60.0,B Tier,2026-03-16,2026-03-16,,Pending / Not Found,,,PA
Collin Gillespie,PHX,BOS,PR,14.5,17.19,0.585,Over,0.34,70.0,B Tier,2026-03-16,2026-03-16,6.0,LOSS,0.0,-11.190000000000001,PR
Kevin Durant,HOU,LAL,RA,10.5,9.58,0.625,Under,0.265,50.0,B Tier,2026-03-16,2026-03-16,7.0,WIN,1.0,-2.58,RA
Victor Wembanyama,SA,LAC,REB,12.5,11.17,0.646,Under,0.319,50.0,B Tier,2026-03-16,2026-03-16,13.0,LOSS,0.0,1.83,REB
Zion Williamson,NO,DAL,PR,28.5,27.12,0.598,Under,0.32,70.0,B Tier,2026-03-16,2026-03-16,31.0,LOSS,0.0,3.879999999999999,PR
Nic Claxton,BKN,POR,REB,6.5,6.11,0.593,Under,0.331,70.0,B Tier,2026-03-16,2026-03-16,11.0,LOSS,0.0,4.89,REB
Paolo Banchero,ORL,ATL,PRA,38.5,36.11,0.612,Under,0.158,40.0,B Tier,2026-03-16,2026-03-16,31.0,WIN,1.0,-5.109999999999999,PRA
Alperen Sengun,HOU,LAL,PRA,33.5,31.2,0.617,Under,0.281,60.0,B Tier,2026-03-16,2026-03-16,,Pending / Not Found,,,PRA
Matas Buzelis,CHI,MEM,REB,4.5,5.62,0.624,Over,0.183,90.0,B Tier,2026-03-16,2026-03-16,7.0,WIN,1.0,1.38,REB
Darius Garland,LAC,SAS,PRA,29.5,27.6,0.613,Under,0.203,50.0,B Tier,2026-03-16,2026-03-16,37.0,LOSS,0.0,9.399999999999999,PRA
Amen Thompson,HOU,LAL,RA,12.5,11.82,0.597,Under,0.252,40.0,B Tier,2026-03-16,2026-03-16,17.0,LOSS,0.0,5.18,RA
Nic Claxton,BKN,POR,RA,10.5,9.79,0.607,Under,0.261,70.0,B Tier,2026-03-16,2026-03-16,12.0,LOSS,0.0,2.210000000000001,RA
Jalen Green,PHX,BOS,PRA,26.0,24.03,0.607,Under,0.368,50.0,C Tier,2026-03-16,2026-03-16,29.0,LOSS,0.0,4.969999999999999,PRA
Jalen Green,PHX,BOS,PR,23.5,22.44,0.594,Under,0.364,50.0,C Tier,2026-03-16,2026-03-16,28.0,LOSS,0.0,5.559999999999999,PR
Nickeil Alexander-Walker,ATL,ORL,RA,5.5,6.36,0.571,Over,0.296,50.0,C Tier,2026-03-16,2026-03-16,12.0,WIN,1.0,5.64,RA
Luke Kennard,LAL,HOU,PTS,7.0,8.88,0.569,Over,0.369,60.0,C Tier,2026-03-16,2026-03-16,0.0,LOSS,0.0,-8.88,PTS
Sam Hauser,BOS,PHX,REB,3.5,4.03,0.541,Over,0.333,90.0,C Tier,2026-03-16,2026-03-16,4.0,WIN,1.0,-0.03000000000000025,REB
Victor Wembanyama,SA,LAC,PA,29.5,26.51,0.646,Under,0.368,40.0,C Tier,2026-03-16,2026-03-16,23.0,WIN,1.0,-3.5100000000000016,PA
Devin Vassell,SA,LAC,PRA,19.5,19.69,0.543,Under,0.307,50.0,C Tier,2026-03-16,2026-03-16,27.0,LOSS,0.0,7.309999999999999,PRA
Victor Wembanyama,SA,LAC,PTS,26.5,22.3,0.688,Under,0.446,40.0,C Tier,2026-03-16,2026-03-16,21.0,WIN,1.0,-1.3000000000000007,PTS
Marcus Smart,LAL,HOU,PR,14.5,11.53,0.726,Under,0.445,40.0,C Tier,2026-03-16,2026-03-16,11.0,WIN,1.0,-0.5299999999999994,PR
Bennedict Mathurin,LAC,SAS,PA,23.5,21.21,0.641,Under,0.361,40.0,C Tier,2026-03-16,2026-03-16,19.0,WIN,1.0,-2.210000000000001,PA
Toumani Camara,POR,BKN,AST,1.5,2.22,0.611,Over,0.386,50.0,C Tier,2026-03-16,2026-03-16,2.0,WIN,1.0,-0.2200000000000002,AST
Stephon Castle,SA,LAC,PR,22.5,21.4,0.598,Under,0.421,50.0,C Tier,2026-03-16,2026-03-16,30.0,LOSS,0.0,8.600000000000001,PR
Desmond Bane,ORL,ATL,AST,3.5,4.52,0.628,Over,0.379,50.0,C Tier,2026-03-16,2026-03-16,4.0,WIN,1.0,-0.5199999999999996,AST
Julian Champagnie,SA,LAC,REB,4.5,5.16,0.557,Over,0.339,70.0,C Tier,2026-03-16,2026-03-16,8.0,WIN,1.0,2.84,REB
Kris Dunn,LAC,SAS,AST,3.5,4.28,0.59,Over,0.39,60.0,C Tier,2026-03-16,2026-03-16,1.0,LOSS,0.0,-3.2800000000000002,AST
Julian Champagnie,SA,LAC,PRA,17.5,17.94,0.553,Under,0.433,40.0,C Tier,2026-03-16,2026-03-16,16.0,WIN,1.0,-1.9400000000000013,PRA
Jalen Green,PHX,BOS,PTS,19.5,19.09,0.58,Under,0.438,50.0,C Tier,2026-03-16,2026-03-16,21.0,LOSS,0.0,1.9100000000000001,PTS
Alperen Sengun,HOU,LAL,RA,14.0,13.48,0.549,Under,0.37,60.0,C Tier,2026-03-16,2026-03-16,,Pending / Not Found,,,RA
Tre Jones,CHI,MEM,RA,7.5,8.2,0.543,Over,0.39,40.0,C Tier,2026-03-16,2026-03-16,10.0,WIN,1.0,1.8000000000000007,RA
Derrick White,BOS,PHX,AST,3.5,4.74,0.659,Over,0.369,50.0,C Tier,2026-03-16,2026-03-16,5.0,WIN,1.0,0.2599999999999998,AST
Collin Gillespie,PHX,BOS,PA,14.5,16.88,0.568,Over,0.327,70.0,C Tier,2026-03-16,2026-03-16,4.0,LOSS,0.0,-12.879999999999999,PA
Max Christie,DAL,NOP,PA,13.0,12.35,0.559,Under,0.358,50.0,C Tier,2026-03-16,2026-03-16,12.0,WIN,1.0,-0.34999999999999964,PA
Baylor Scheierman,BOS,PHX,PR,11.5,13.12,0.544,Over,0.386,90.0,C Tier,2026-03-16,2026-03-16,13.0,WIN,1.0,-0.11999999999999922,PR
Sam Hauser,BOS,PHX,PR,12.5,13.83,0.557,Over,0.276,50.0,C Tier,2026-03-16,2026-03-16,6.0,LOSS,0.0,-7.83,PR
Jalen Suggs,ORL,ATL,PRA,25.5,23.43,0.627,Under,0.43,60.0,C Tier,2026-03-16,2026-03-16,19.0,WIN,1.0,-4.43,PRA
Toumani Camara,POR,BKN,PRA,19.5,19.35,0.557,Under,0.218,50.0,C Tier,2026-03-16,2026-03-16,25.0,LOSS,0.0,5.649999999999999,PRA
Max Christie,DAL,NOP,PTS,11.5,11.11,0.578,Under,0.41,40.0,C Tier,2026-03-16,2026-03-16,12.0,LOSS,0.0,0.8900000000000006,PTS
Darius Garland,LAC,SAS,RA,7.5,8.4,0.566,Over,0.276,50.0,C Tier,2026-03-16,2026-03-16,12.0,WIN,1.0,3.5999999999999996,RA
Stephon Castle,SA,LAC,RA,12.5,11.59,0.614,Under,0.385,40.0,C Tier,2026-03-16,2026-03-16,15.0,LOSS,0.0,3.41,RA
Kevin Durant,HOU,LAL,REB,4.5,5.05,0.541,Over,0.272,60.0,C Tier,2026-03-16,2026-03-16,5.0,WIN,1.0,-0.04999999999999982,REB
LeBron James,LAL,HOU,PTS,18.5,18.71,0.54,Under,0.318,90.0,C Tier,2026-03-16,2026-03-16,18.0,WIN,1.0,-0.7100000000000009,PTS
