Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Correctness,Proj_Error,Mapped_Prop
Tobias Harris,DET,BKN,REB,3.5,5.13,0.705,Over,0.345,60.0,B Tier,2026-03-07,2026-03-07,10.0,WIN,1.0,4.87,REB
Shai Gilgeous-Alexander,OKC,GSW,PRA,43.5,39.58,0.637,Under,0.214,50.0,B Tier,2026-03-07,2026-03-07,37.0,WIN,1.0,-2.5799999999999983,PRA
Darius Garland,LAC,MEM,PTS,14.5,17.28,0.631,Over,0.255,40.0,B Tier,2026-03-07,2026-03-07,21.0,WIN,1.0,3.719999999999999,PTS
Darius Garland,LAC,MEM,PTS,14.5,17.28,0.631,Over,0.255,40.0,B Tier,2026-03-07,2026-03-07,21.0,WIN,1.0,3.719999999999999,PTS
Darius Garland,LAC,MEM,PTS,14.5,17.28,0.631,Over,0.255,40.0,B Tier,2026-03-07,2026-03-07,21.0,WIN,1.0,3.719999999999999,PTS
Giannis Antetokounmpo,MIL,UTA,PRA,42.5,39.01,0.63,Under,0.2,80.0,B Tier,2026-03-07,2026-03-07,44.0,LOSS,0.0,4.990000000000002,PRA
Shai Gilgeous-Alexander,OKC,GSW,PR,35.5,32.62,0.629,Under,0.225,60.0,B Tier,2026-03-07,2026-03-07,32.0,WIN,1.0,-0.6199999999999974,PR
Giannis Antetokounmpo,MIL,UTA,PA,32.5,30.02,0.624,Under,0.242,80.0,B Tier,2026-03-07,2026-03-07,35.0,LOSS,0.0,4.98,PA
Kyle Kuzma,MIL,UTA,PRA,16.5,19.69,0.618,Over,0.332,40.0,B Tier,2026-03-07,2026-03-07,25.0,WIN,1.0,5.309999999999999,PRA
Giannis Antetokounmpo,MIL,UTA,PR,36.0,33.11,0.617,Under,0.201,90.0,B Tier,2026-03-07,2026-03-07,36.0,PUSH,0.0,2.8900000000000006,PR
Giannis Antetokounmpo,MIL,UTA,PTS,26.5,24.77,0.613,Under,0.263,80.0,B Tier,2026-03-07,2026-03-07,27.0,LOSS,0.0,2.2300000000000004,PTS
GG Jackson,MEM,LAC,RA,6.5,7.75,0.612,Over,0.234,100.0,B Tier,2026-03-07,2026-03-07,8.0,WIN,1.0,0.25,RA
Shai Gilgeous-Alexander,OKC,GSW,PA,37.5,35.16,0.612,Under,0.221,60.0,B Tier,2026-03-07,2026-03-07,32.0,WIN,1.0,-3.1599999999999966,PA
Tobias Harris,DET,BKN,RA,6.5,7.77,0.6,Over,0.349,60.0,B Tier,2026-03-07,2026-03-07,10.0,WIN,1.0,2.2300000000000004,RA
Giannis Antetokounmpo,MIL,UTA,RA,15.5,14.75,0.593,Under,0.347,60.0,B Tier,2026-03-07,2026-03-07,17.0,LOSS,0.0,2.25,RA
Jared McCain,OKC,GSW,REB,1.5,2.16,0.591,Over,0.314,70.0,B Tier,2026-03-07,2026-03-07,2.0,WIN,1.0,-0.16000000000000014,REB
Jared McCain,OKC,GSW,REB,1.5,2.16,0.591,Over,0.314,70.0,B Tier,2026-03-07,2026-03-07,2.0,WIN,1.0,-0.16000000000000014,REB
Jared McCain,OKC,GSW,REB,1.5,2.16,0.591,Over,0.314,70.0,B Tier,2026-03-07,2026-03-07,2.0,WIN,1.0,-0.16000000000000014,REB
Darius Garland,LAC,MEM,PA,19.5,22.21,0.584,Over,0.214,40.0,B Tier,2026-03-07,2026-03-07,27.0,WIN,1.0,4.789999999999999,PA
Darius Garland,LAC,MEM,PA,19.5,22.21,0.584,Over,0.214,40.0,B Tier,2026-03-07,2026-03-07,27.0,WIN,1.0,4.789999999999999,PA
Darius Garland,LAC,MEM,PA,19.5,22.21,0.584,Over,0.214,40.0,B Tier,2026-03-07,2026-03-07,27.0,WIN,1.0,4.789999999999999,PA
Isaiah Joe,OKC,GSW,PR,14.5,16.79,0.581,Over,0.314,70.0,B Tier,2026-03-07,2026-03-07,22.0,WIN,1.0,5.210000000000001,PR
Kawhi Leonard,LAC,MEM,PR,34.5,30.94,0.648,Under,0.442,40.0,C Tier,2026-03-07,2026-03-07,33.0,WIN,1.0,2.0599999999999987,PR
Brice Sensabaugh,UTAH,MIL,PRA,21.5,19.2,0.648,Under,0.426,40.0,C Tier,2026-03-07,2026-03-07,24.0,LOSS,0.0,4.800000000000001,PRA
Kawhi Leonard,LAC,MEM,PRA,38.5,35.35,0.63,Under,0.423,40.0,C Tier,2026-03-07,2026-03-07,35.0,WIN,1.0,-0.3500000000000014,PRA
