Legs,Joint Prob,Payout,Picks,Result
2,0.97712,3.0x,Jalen Williams Over 16.5 PR | Jevon Carter Over 5.5 PTS,LOSS
2,0.975136,3.0x,Amen Thompson Over 10.5 RA | Jalen Williams Over 16.5 PR,LOSS
2,0.9745,3.0x,Adem Bona Over 11.5 PRA | Jalen Williams Over 16.5 PR,LOSS
2,0.972195,3.0x,Jalen Williams Over 14.5 PTS | Jevon Carter Over 5.5 PTS,LOSS
2,0.970221,3.0x,Amen Thompson Over 10.5 RA | Jalen Williams Over 14.5 PTS,LOSS
2,0.9689,3.0x,Adem Bona Over 11.5 PRA | Jalen Williams Over 14.5 PTS,LOSS
2,0.968255,3.0x,Amen Thompson Over 10.5 RA | Jevon Carter Over 5.5 PTS,LOSS
2,0.968192,3.0x,Darius Garland Over 23.5 PR | Jalen Williams Over 16.5 PR,LOSS
2,0.966285,3.0x,Adem Bona Over 11.5 PRA | Jevon Carter Over 5.5 PTS,LOSS
2,0.964323,3.0x,Adem Bona Over 11.5 PRA | Amen Thompson Over 10.5 RA,LOSS
2,0.963312,3.0x,Darius Garland Over 23.5 PR | Jalen Williams Over 14.5 PTS,LOSS
2,0.96136,3.0x,Darius Garland Over 23.5 PR | Jevon Carter Over 5.5 PTS,LOSS
2,0.959408,3.0x,Amen Thompson Over 10.5 RA | Darius Garland Over 23.5 PR,LOSS
2,0.957456,3.0x,Adem Bona Over 11.5 PRA | Darius Garland Over 23.5 PR,LOSS
2,0.951328,3.0x,Dyson Daniels Over 20.5 PR | Jalen Williams Over 16.5 PR,LOSS
2,0.949344,3.0x,Darius Garland Over 28.5 PA | Jalen Williams Over 16.5 PR,LOSS
2,0.946533,3.0x,Dyson Daniels Over 20.5 PR | Jalen Williams Over 14.5 PTS,LOSS
2,0.944615,3.0x,Dyson Daniels Over 20.5 PR | Jevon Carter Over 5.5 PTS,LOSS
2,0.944559,3.0x,Darius Garland Over 28.5 PA | Jalen Williams Over 14.5 PTS,LOSS
2,0.942697,3.0x,Amen Thompson Over 10.5 RA | Dyson Daniels Over 20.5 PR,LOSS
