Legs,Joint Prob,Payout,Picks,Result
2,0.5011829999999999,3.0x,Aaron Gordon Over 3.5 REB | Bennedict Mathurin Over 3.5 REB,LOSS
2,0.4961639999999999,3.0x,Bennedict Mathurin Over 3.5 REB | Kevin Durant Over 3.5 REB,LOSS
2,0.488994,3.0x,Amen Thompson Over 5.5 REB | Bennedict Mathurin Over 3.5 REB,LOSS
2,0.478956,3.0x,Bennedict Mathurin Over 3.5 REB | Jalen Brunson Under 30.5 PR,LOSS
2,0.477522,3.0x,Bennedict Mathurin Over 3.5 REB | Jalen Brunson Under 26.5 PTS,LOSS
2,0.477522,3.0x,Bennedict Mathurin Over 3.5 REB | Scottie Barnes Under 30.5 PRA,LOSS
2,0.476088,3.0x,Bennedict Mathurin Over 3.5 REB | James Harden Over 9.5 RA,LOSS
2,0.468201,3.0x,Bennedict Mathurin Over 3.5 REB | Scottie Barnes Under 24.5 PR,LOSS
2,0.466932,3.0x,Aaron Gordon Over 3.5 REB | Jalen Brunson Under 30.5 PR,LOSS
2,0.465534,3.0x,Aaron Gordon Over 3.5 REB | Jalen Brunson Under 26.5 PTS,LOSS
3,0.3347902439999999,6.0x,Aaron Gordon Over 3.5 REB | Bennedict Mathurin Over 3.5 REB | Jalen Brunson Under 30.5 PR,LOSS
3,0.333787878,6.0x,Aaron Gordon Over 3.5 REB | Bennedict Mathurin Over 3.5 REB | Jalen Brunson Under 26.5 PTS,LOSS
3,0.333787878,6.0x,Aaron Gordon Over 3.5 REB | Bennedict Mathurin Over 3.5 REB | Scottie Barnes Under 30.5 PRA,LOSS
3,0.3327855119999999,6.0x,Aaron Gordon Over 3.5 REB | Bennedict Mathurin Over 3.5 REB | James Harden Over 9.5 RA,LOSS
3,0.3321861,6.0x,Aaron Gordon Over 3.5 REB | Bennedict Mathurin Over 3.5 REB | Kevin Durant Over 3.5 REB,LOSS
3,0.3314375519999999,6.0x,Bennedict Mathurin Over 3.5 REB | Jalen Brunson Under 30.5 PR | Kevin Durant Over 3.5 REB,LOSS
3,0.3308955,6.0x,Aaron Gordon Over 3.5 REB | Amen Thompson Over 5.5 REB | Bennedict Mathurin Over 3.5 REB,LOSS
3,0.330445224,6.0x,Bennedict Mathurin Over 3.5 REB | Kevin Durant Over 3.5 REB | Scottie Barnes Under 30.5 PRA,LOSS
3,0.330445224,6.0x,Bennedict Mathurin Over 3.5 REB | Jalen Brunson Under 26.5 PTS | Kevin Durant Over 3.5 REB,LOSS
3,0.329452896,6.0x,Bennedict Mathurin Over 3.5 REB | James Harden Over 9.5 RA | Kevin Durant Over 3.5 REB,LOSS
4,0.222970302504,10.0x,Aaron Gordon Over 3.5 REB | Bennedict Mathurin Over 3.5 REB | Jalen Brunson Under 30.5 PR | Scottie Barnes Under 30.5 PRA,LOSS
