Legs,Joint Prob,Payout,Picks,Result
2,0.943792,3.0x,Josh Hart Over 20.5 PR | Peyton Watson Over 9.5 PRA,WIN
2,0.9433,3.0x,Donovan Clingan Over 14.5 PA | Peyton Watson Over 9.5 PRA,WIN
2,0.935089,3.0x,Donovan Clingan Over 14.5 PA | Josh Hart Over 20.5 PR,WIN
2,0.930128,3.0x,Jakob Poeltl Over 20.5 PR | Peyton Watson Over 9.5 PRA,LOSS
2,0.921551,3.0x,Donovan Clingan Over 14.5 PA | Jakob Poeltl Over 20.5 PR,LOSS
2,0.921551,3.0x,Jakob Poeltl Over 20.5 PR | Josh Hart Over 20.5 PR,LOSS
2,0.90768,3.0x,Jayson Tatum Under 25.5 PA | Peyton Watson Over 9.5 PRA,WIN
2,0.89931,3.0x,Donovan Clingan Over 14.5 PA | Jayson Tatum Under 25.5 PA,WIN
2,0.89931,3.0x,Jayson Tatum Under 25.5 PA | Josh Hart Over 20.5 PR,WIN
2,0.893508,3.0x,Josh Hart Over 20.5 PR | Toumani Camara Under 14.5 PA,LOSS
2,0.8923,3.0x,Peyton Watson Over 9.5 PRA | Toumani Camara Under 14.5 PA,LOSS
2,0.891088,3.0x,Dylan Cardwell Over 7.5 REB | Peyton Watson Over 9.5 PRA,LOSS
2,0.890112,3.0x,Bilal Coulibaly Over 16.5 PR | Peyton Watson Over 9.5 PRA,WIN
2,0.88629,3.0x,Jakob Poeltl Over 20.5 PR | Jayson Tatum Under 25.5 PA,LOSS
2,0.882871,3.0x,Donovan Clingan Over 14.5 PA | Dylan Cardwell Over 7.5 REB,LOSS
2,0.882871,3.0x,Dylan Cardwell Over 7.5 REB | Josh Hart Over 20.5 PR,LOSS
2,0.882304,3.0x,Peyton Watson Over 9.5 PRA | Tre Johnson Under 24.5 PR,PUSH/DOWNGRADE
2,0.881904,3.0x,Bilal Coulibaly Over 16.5 PR | Donovan Clingan Over 14.5 PA,WIN
2,0.881904,3.0x,Bilal Coulibaly Over 16.5 PR | Josh Hart Over 20.5 PR,WIN
2,0.881328,3.0x,Nique Clifford Over 9.5 RA | Peyton Watson Over 9.5 PRA,LOSS
