Legs,Joint Prob,Payout,Picks,Result
2,0.6762,3.0x,Jose Alvarado Under 8.5 RA | Mitchell Robinson Under 1.5 AST,WIN
2,0.66,3.0x,Derrick White Over 8.5 RA | Payton Pritchard Over 8.5 RA,WIN
2,0.6583,3.0x,Anthony Black Under 4.0 AST | Desmond Bane Under 4.0 REB,PUSH/DOWNGRADE
2,0.6469,3.0x,Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,WIN
2,0.6445,3.0x,Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB,WIN
2,0.6389,3.0x,James Harden Over 5.5 AST | Jarrett Allen Over 9.5 RA,LOSS
3,0.6361,6.0x,Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,WIN
2,0.6323,3.0x,James Harden Over 5.5 AST | Jarrett Allen Over 8.5 REB,LOSS
2,0.6296,3.0x,AJ Green Over 3.5 RA | Myles Turner Over 5.5 RA,LOSS
2,0.6275,3.0x,AJ Green Over 3.5 RA | Ryan Rollins Over 18.5 PTS,WIN
2,0.6238,3.0x,Derrick White Over 5.5 AST | Payton Pritchard Over 8.5 RA,WIN
3,0.6175,6.0x,AJ Green Over 3.5 RA | Myles Turner Over 5.5 RA | Ryan Rollins Over 18.5 PTS,LOSS
3,0.51678,6.0x,Derrick White Over 8.5 RA | Mitchell Robinson Under 1.5 AST | Payton Pritchard Over 8.5 RA,WIN
3,0.5164,6.0x,Derrick White Over 8.5 RA | Grayson Allen Over 14.5 PTS | Payton Pritchard Over 8.5 RA,LOSS
3,0.5154489,6.0x,Anthony Black Under 4.0 AST | Desmond Bane Under 4.0 REB | Mitchell Robinson Under 1.5 AST,PUSH/DOWNGRADE
3,0.5002587000000001,6.0x,James Harden Over 5.5 AST | Jarrett Allen Over 9.5 RA | Mitchell Robinson Under 1.5 AST,LOSS
3,0.4950909,6.0x,James Harden Over 5.5 AST | Jarrett Allen Over 8.5 REB | Mitchell Robinson Under 1.5 AST,LOSS
3,0.4929768,6.0x,AJ Green Over 3.5 RA | Mitchell Robinson Under 1.5 AST | Myles Turner Over 5.5 RA,LOSS
3,0.4913324999999999,6.0x,AJ Green Over 3.5 RA | Mitchell Robinson Under 1.5 AST | Ryan Rollins Over 18.5 PTS,WIN
3,0.4895688,6.0x,Coby White Over 4.5 RA | Jose Alvarado Under 8.5 RA | Mitchell Robinson Under 1.5 AST,WIN
4,0.4835025,10.0x,AJ Green Over 3.5 RA | Mitchell Robinson Under 1.5 AST | Myles Turner Over 5.5 RA | Ryan Rollins Over 18.5 PTS,LOSS
4,0.4605363999999999,10.0x,Coby White Over 4.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,WIN
4,0.4503587999999999,10.0x,James Harden Over 5.5 AST | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,LOSS
4,0.4503587999999999,10.0x,Collin Murray-Boyles Under 5.5 REB | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,WIN
4,0.44707,10.0x,AJ Green Over 3.5 RA | Coby White Over 4.5 RA | Myles Turner Over 5.5 RA | Ryan Rollins Over 18.5 PTS,LOSS
4,0.446292,10.0x,Derrick White Over 8.5 RA | Jose Alvarado Under 8.5 RA | Mitchell Robinson Under 1.5 AST | Payton Pritchard Over 8.5 RA,WIN
4,0.4459060999999999,10.0x,AJ Green Over 3.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,WIN
4,0.44514246,10.0x,Anthony Black Under 4.0 AST | Desmond Bane Under 4.0 REB | Jose Alvarado Under 8.5 RA | Mitchell Robinson Under 1.5 AST,PUSH/DOWNGRADE
4,0.4433616999999999,10.0x,Derrick White Over 8.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,WIN
4,0.4395450999999999,10.0x,Jake LaRavia Over 2.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,LOSS
5,0.419826,20.0x,Derrick White Over 8.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST | Payton Pritchard Over 8.5 RA,WIN
5,0.41874463,20.0x,Anthony Black Under 4.0 AST | Desmond Bane Under 4.0 REB | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,PUSH/DOWNGRADE
5,0.4175535,20.0x,AJ Green Over 3.5 RA | Jose Alvarado Under 8.5 RA | Mitchell Robinson Under 1.5 AST | Myles Turner Over 5.5 RA | Ryan Rollins Over 18.5 PTS,LOSS
5,0.4075500000000001,20.0x,AJ Green Over 3.5 RA | Derrick White Over 8.5 RA | Myles Turner Over 5.5 RA | Payton Pritchard Over 8.5 RA | Ryan Rollins Over 18.5 PTS,LOSS
5,0.40650025,20.0x,AJ Green Over 3.5 RA | Anthony Black Under 4.0 AST | Desmond Bane Under 4.0 REB | Myles Turner Over 5.5 RA | Ryan Rollins Over 18.5 PTS,LOSS
5,0.40640429,20.0x,James Harden Over 5.5 AST | Jarrett Allen Over 9.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,LOSS
5,0.40220603,20.0x,James Harden Over 5.5 AST | Jarrett Allen Over 8.5 REB | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST,LOSS
5,0.40048856,20.0x,AJ Green Over 3.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST | Myles Turner Over 5.5 RA,LOSS
5,0.39946075,20.0x,AJ Green Over 3.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST | Myles Turner Over 5.5 RA | Ryan Rollins Over 18.5 PTS,LOSS
5,0.3991527499999999,20.0x,AJ Green Over 3.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST | Ryan Rollins Over 18.5 PTS,WIN
6,0.39279175,25.0x,AJ Green Over 3.5 RA | Jose Alvarado Under 8.5 RA | Josh Hart Under 7.0 REB | Mitchell Robinson Under 1.5 AST | Myles Turner Over 5.5 RA | Ryan Rollins Over 18.5 PTS,LOSS
