Legs,Joint Prob,Payout,Picks,Result
2,0.871182,3.0x,De'Aaron Fox Under 11.5 RA | Mitchell Robinson Over 3.5 PTS,LOSS
2,0.800736,3.0x,Jalen Brunson Under 25.5 PTS | Julian Champagnie Over 17.5 PRA,LOSS
2,0.686152,3.0x,Devin Vassell Over 1.5 AST | Jalen Brunson Under 28.5 PR,LOSS
2,0.67235,3.0x,Jalen Brunson Under 35.5 PRA | Victor Wembanyama Under 42.5 PRA,WIN
2,0.664767,3.0x,Jalen Brunson Under 32.5 PA | Victor Wembanyama Under 39.5 PR,WIN
2,0.588354,3.0x,De'Aaron Fox Under 19.5 PR | Josh Hart Over 12.5 RA,WIN
2,0.576975,3.0x,Josh Hart Under 16.5 PA | Victor Wembanyama Under 30.5 PA,WIN
2,0.544619,3.0x,Josh Hart Over 8.0 REB | Victor Wembanyama Under 27.5 PTS,WIN
2,0.489559,3.0x,De'Aaron Fox Under 25.5 PRA | OG Anunoby Over 17.5 PA,LOSS
2,0.479176,3.0x,Devin Vassell Under 13.5 PTS | OG Anunoby Over 5.5 REB,LOSS
