Legs,Joint Prob,Payout,Picks,Result
2,0.5859,3.0x,Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
2,0.580074,3.0x,Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA,LOSS
2,0.549712,3.0x,Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
2,0.5361290000000001,3.0x,Luke Kennard Under 14.5 PR | Sam Hauser Over 9.5 PRA,LOSS
2,0.5349,3.0x,Grayson Allen Over 5.5 RA | Sam Hauser Over 9.5 PRA,LOSS
2,0.516154,3.0x,Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 15.5 RA,LOSS
2,0.516154,3.0x,Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 12.5 REB,LOSS
2,0.516154,3.0x,Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 29.5 PA,LOSS
2,0.515355,3.0x,Kevin Durant Under 26.5 PTS | Sam Hauser Over 9.5 PRA,LOSS
2,0.514556,3.0x,Sam Hauser Over 9.5 PRA | Stephon Castle Under 30.5 PRA,LOSS
3,0.4253633999999999,6.0x,Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
3,0.409101,6.0x,Derrick White Over 3.5 AST | Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA,LOSS
3,0.4030991999999999,6.0x,Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
3,0.4011,6.0x,Derrick White Over 3.5 AST | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
3,0.3990909119999999,6.0x,Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
3,0.3947859,6.0x,Kevin Durant Under 26.5 PTS | Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA,LOSS
3,0.3931389,6.0x,Luke Kennard Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
3,0.3889,6.0x,Grayson Allen Over 5.5 RA | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
3,0.3883374,6.0x,Grayson Allen Over 5.5 RA | Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA,LOSS
3,0.387688,6.0x,Derrick White Over 3.5 AST | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
4,0.2926500191999999,10.0x,Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
4,0.2911986,10.0x,Derrick White Over 3.5 AST | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
4,0.2894931899999999,10.0x,Kevin Durant Under 26.5 PTS | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
4,0.2823414,10.0x,Grayson Allen Over 5.5 RA | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
4,0.28193508,10.0x,Kevin Durant Under 36.5 PRA | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
4,0.281461488,10.0x,Derrick White Over 3.5 AST | Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
4,0.28134918,10.0x,Kevin Durant Under 31.0 PA | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
4,0.27918135,10.0x,Alperen Sengun Under 33.5 PRA | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
4,0.27842535,10.0x,Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA,LOSS
4,0.2774927,10.0x,Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA,LOSS
5,0.20348307,20.0x,Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
5,0.2003446367999999,20.0x,Derrick White Over 3.5 AST | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
5,0.19965,20.0x,Baylor Scheierman Over 6.5 PTS | Derrick White Over 3.5 AST | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
5,0.1991713147199999,20.0x,Kevin Durant Under 26.5 PTS | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
5,0.19818351,20.0x,Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
5,0.19570355,20.0x,Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA,LOSS
5,0.19539765,20.0x,Kevin Durant Under 31.0 PA | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
5,0.1946945699999999,20.0x,Alperen Sengun Under 33.5 PRA | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
5,0.1944016199999999,20.0x,Kevin Durant Under 31.5 PR | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
5,0.1942508832,20.0x,Grayson Allen Over 5.5 RA | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
6,0.1399963521599999,25.0x,Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
6,0.13930203,25.0x,Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
6,0.13862394,25.0x,Alperen Sengun Under 33.5 PRA | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
6,0.1373592,25.0x,Baylor Scheierman Over 6.5 PTS | Derrick White Over 3.5 AST | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
6,0.13635025488,25.0x,Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
6,0.1358775,25.0x,Baylor Scheierman Over 6.5 PTS | Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
6,0.13506497,25.0x,Grayson Allen Over 5.5 RA | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
6,0.1346440424,25.0x,Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
6,0.1344335831999999,25.0x,Kevin Durant Under 31.0 PA | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
6,0.13394986416,25.0x,Alperen Sengun Under 33.5 PRA | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
7,0.0958397966399999,40.0x,Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
7,0.0955075,40.0x,Baylor Scheierman Over 6.5 PTS | Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
7,0.0953732707199999,40.0x,Alperen Sengun Under 33.5 PRA | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
7,0.09490026,40.0x,Alperen Sengun Under 33.5 PRA | Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
7,0.09348372,40.0x,Baylor Scheierman Over 6.5 PTS | Derrick White Over 3.5 AST | Kevin Durant Under 26.5 PTS | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
7,0.09292469936,40.0x,Grayson Allen Over 5.5 RA | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
7,0.0924859899999999,40.0x,Derrick White Over 3.5 AST | Grayson Allen Over 5.5 RA | Kevin Durant Under 26.5 PTS | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA,LOSS
7,0.0920315928,40.0x,Derrick White Over 3.5 AST | Kevin Durant Under 31.0 PA | Luke Kennard Under 14.5 PR | Marcus Smart Under 14.5 PR | Oso Ighodaro Over 7.5 PA | Sam Hauser Over 9.5 PRA | Victor Wembanyama Under 26.5 PTS,LOSS
