Legs,Joint Prob,Payout,Picks,Result
2,0.565914,3.0x,Brandon Miller Under 5.5 AST | Jordan Goodwin Under 17.5 PR,LOSS
2,0.548181,3.0x,Austin Reaves Over 3.5 AST | Brandon Miller Under 5.5 AST,WIN
2,0.536616,3.0x,Brandon Miller Under 5.5 AST | VJ Edgecombe Under 27.5 PR,LOSS
2,0.5255,3.0x,Brandon Miller Under 5.5 AST | Jaylen Wells Over 9.5 PTS,LOSS
2,0.521874,3.0x,Austin Reaves Over 3.5 AST | Jordan Goodwin Under 17.5 PR,LOSS
2,0.5196540000000001,3.0x,Brandon Miller Under 5.5 AST | Darius Garland Under 22.5 PR,LOSS
2,0.510864,3.0x,Jordan Goodwin Under 17.5 PR | VJ Edgecombe Under 27.5 PR,LOSS
2,0.505005,3.0x,Adem Bona Under 13.5 PR | Brandon Miller Under 5.5 AST,LOSS
2,0.500379,3.0x,Brandon Miller Under 5.5 AST | Max Christie Under 12.5 PTS,WIN
2,0.494982,3.0x,Brandon Miller Under 5.5 AST | Donovan Mitchell Under 26.5 PTS,LOSS
2,0.4948559999999999,3.0x,Austin Reaves Over 3.5 AST | VJ Edgecombe Under 27.5 PR,LOSS
2,0.494716,3.0x,Darius Garland Under 22.5 PR | Jordan Goodwin Under 17.5 PR,LOSS
2,0.491898,3.0x,Brandon Miller Under 5.5 AST | Jalen Green Under 8.5 RA,WIN
2,0.491898,3.0x,Brandon Miller Under 5.5 AST | VJ Edgecombe Under 10.5 RA,LOSS
2,0.491127,3.0x,Alperen Sengun Under 14.5 RA | Brandon Miller Under 5.5 AST,LOSS
2,0.490312,3.0x,Jaylen Wells Over 9.5 PTS | Jordan Goodwin Under 17.5 PR,LOSS
2,0.489585,3.0x,Brandon Miller Under 5.5 AST | Tari Eason Under 10.5 PTS,WIN
2,0.488043,3.0x,Brandon Miller Under 5.5 AST | Kevin Durant Under 32.5 PR,WIN
2,0.487272,3.0x,Brandon Miller Under 5.5 AST | Jalen Green Under 25.5 PA,LOSS
2,0.487272,3.0x,Brandon Miller Under 5.5 AST | Max Christie Under 15.5 PR,WIN
