Legs,Joint Prob,Payout,Picks,Result
2,0.884234,3.0x,Max Strus Over 3.5 REB | Precious Achiuwa Over 7.5 REB,LOSS
2,0.8344820000000001,3.0x,OG Anunoby Under 24.5 PRA | Sam Merrill Over 17.5 PRA,LOSS
2,0.825366,3.0x,Kon Knueppel Under 18.5 PTS | OG Anunoby Under 19.5 PA,LOSS
2,0.8163100000000001,3.0x,OG Anunoby Under 22.5 PR | Precious Achiuwa Over 9.5 RA,LOSS
2,0.792091,3.0x,Kon Knueppel Under 22.5 PR | OG Anunoby Under 17.5 PTS,LOSS
2,0.734433,3.0x,Jalen Green Over 6.5 RA | Moussa Diabate Over 11.5 RA,WIN
2,0.691086,3.0x,LaMelo Ball Under 11.5 RA | Paolo Banchero Under 14.5 RA,LOSS
2,0.669732,3.0x,Dejounte Murray Under 21.5 PR | Kon Knueppel Under 21.5 PA,WIN
2,0.6478,3.0x,Kon Knueppel Under 26.0 PRA | Max Strus Over 6.5 RA,LOSS
2,0.6312000000000001,3.0x,Moussa Diabate Over 20.5 PRA | Saddiq Bey Over 6.5 RA,LOSS
