Legs,Joint Prob,Payout,Picks
6,0.14713161643335,25.0x,Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
6,0.14598096785864997,25.0x,Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
6,0.14586141542816997,25.0x,Gui Santos Under 12.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
6,0.14502672921684995,25.0x,Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS
6,0.14472070051022995,25.0x,Gui Santos Under 12.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
6,0.14445063573,25.0x,Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Victor Wembanyama Under 23.5 PTS
6,0.1439561139204,25.0x,Cameron Johnson Under 15.5 PR | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
6,0.14389254199514995,25.0x,Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS
6,0.14374659000793644,25.0x,Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
6,0.14374441375287,25.0x,Andrew Wiggins Over 3.5 REB | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
7,0.1013736837225781,40.0x,Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
7,0.10058088685460981,40.0x,Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
