Legs,Joint Prob,Ticket EV%,Payout,Picks
5,0.6248,11.496,20.0x,Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
6,0.6241,14.6025,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
6,0.6183,14.4575,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
6,0.6179,14.4475,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
6,0.6124,14.310000000000002,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
6,0.6123,14.3075,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
6,0.6086,14.215,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 16.5 PTS | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
6,0.6076,14.190000000000001,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
6,0.6066,14.165000000000001,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
6,0.6059,14.147499999999999,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 16.5 PTS | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 4.5 AST | Tari Eason Under 23.5 PRA
6,0.6057,14.1425,25.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 23.5 PRA
7,0.5017764,19.071056,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
7,0.4971132,18.884528,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
7,0.49679160000000006,18.871664000000003,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
