Legs,Joint Prob,Payout,Picks
6,0.24062419926000003,25.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Victor Wembanyama Under 11.5 REB
6,0.23838954047999997,25.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS | Tobias Harris Under 15.5 PA
6,0.23589626256,25.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS | Tobias Harris Under 13.5 PTS
6,0.23456919528,25.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS | Victor Wembanyama Under 11.5 REB
6,0.2279316,25.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA
6,0.22768997472000002,25.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Derrick White Over 9.5 RA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA
6,0.22554770000000002,25.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS
6,0.22530860184000004,25.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Derrick White Over 9.5 RA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS
7,0.20062169524800003,40.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA | Victor Wembanyama Under 11.5 REB
7,0.19852342515600005,40.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS | Victor Wembanyama Under 11.5 REB
7,0.195573303744,40.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS | Tobias Harris Under 15.5 PA | Victor Wembanyama Under 11.5 REB
7,0.19352783396800002,40.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS | Tobias Harris Under 13.5 PTS | Victor Wembanyama Under 11.5 REB
7,0.1620593676,40.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA
7,0.16188757202592,40.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Derrick White Over 9.5 RA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA
7,0.1603644147,40.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS
7,0.16019441590824002,40.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Derrick White Over 9.5 RA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS
7,0.15946226235000002,40.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Harrison Barnes Under 14.5 PA | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Victor Wembanyama Under 11.5 REB
7,0.15929321991012002,40.0x,AJ Green Over 3.5 RA | Collin Murray-Boyles Under 5.5 REB | Derrick White Over 9.5 RA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Victor Wembanyama Under 11.5 REB
8,0.142642025321328,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA | Victor Wembanyama Under 11.5 REB
8,0.141150155285916,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS | Victor Wembanyama Under 11.5 REB
8,0.13905261896198398,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS | Tobias Harris Under 15.5 PA | Victor Wembanyama Under 11.5 REB
8,0.137598289951248,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Collin Murray-Boyles Under 5.5 REB | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS | Tobias Harris Under 13.5 PTS | Victor Wembanyama Under 11.5 REB
8,0.13295250228000002,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Harrison Barnes Under 14.5 PA | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA | Victor Wembanyama Under 11.5 REB
8,0.13281156225417604,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Derrick White Over 9.5 RA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA | Victor Wembanyama Under 11.5 REB
8,0.13156197341000003,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Harrison Barnes Under 14.5 PA | James Harden Under 28.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS | Victor Wembanyama Under 11.5 REB
8,0.13142250745327202,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Derrick White Over 9.5 RA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 13.5 PTS | Victor Wembanyama Under 11.5 REB
8,0.129909636168,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Harrison Barnes Under 14.5 PA | James Harden Under 33.5 PRA | Myles Turner Over 6.5 RA | Ryan Rollins Over 23.5 PR | Tobias Harris Under 15.5 PA | Victor Wembanyama Under 11.5 REB
8,0.12946952707852802,80.0x,AJ Green Over 3.5 RA | Ausar Thompson Under 12.0 PA | Derrick White Over 9.5 RA | Harrison Barnes Under 14.5 PA | Myles Turner Over 6.5 RA | Ryan Rollins Over 18.5 PTS | Tobias Harris Under 15.5 PA | Victor Wembanyama Under 11.5 REB
